Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Fall Headcount
2002,5805,2777,G,Grad,MEDAILLE COLLEGE GRAD,PRIVATE,5-INDEPENDENT,11
2002,5800,2710,G,Grad,COOPER UNION - GRADUATE,PRIVATE,5-INDEPENDENT,1
2002,5795,2885,G,Grad,ALBANY COLLEGE OF PHARMACY GRAD,PRIVATE,5-INDEPENDENT,40
2002,5780,2739,G,Grad,ITHACA COLLEGE PHYS/OCC THERAPY,PRIVATE,5-INDEPENDENT,1
2002,5775,2808,G,Grad,DAEMEN COLLEGE GRAD,PRIVATE,5-INDEPENDENT,2
2002,5755,2748,G,Grad,LEMOYNE COLLEGE GRAD,PRIVATE,5-INDEPENDENT,2
2002,5750,2866,G,Grad,FASHION INST TECHNOLOGY-GRAD,PUBLIC,4-SUNY CC,3
2002,5745,2671,G,Grad,BARD COLLEGE- GRAD,PRIVATE,5-INDEPENDENT,4
2002,5730,2805,G,Grad,ROBERTS WESLEYAN COLLEGE-GRAD,PRIVATE,5-INDEPENDENT,22
2002,5725,2778,G,Grad,MOUNT ST. MARY COLLEGE - GRAD,PRIVATE,5-INDEPENDENT,7
2002,5720,2712,G,Grad,D'YOUVILLE COLLEGE-GRAD,PRIVATE,5-INDEPENDENT,43
2002,5720,2712,G,4 yr Undergrad,D'YOUVILLE COLLEGE-GRAD,PRIVATE,5-INDEPENDENT,1
2002,5695,11678,G,Grad,SUNY POLYTECHNIC INST GRAD,PUBLIC,3-SUNY SO,21
2002,5685,2779,G,Grad,NAZARETH COLLEGE GRAD,PRIVATE,5-INDEPENDENT,23
2002,5680,10286,G,Grad,SUC EMPIRE STATE GRAD,PUBLIC,3-SUNY SO,1
2002,5675,6791,G,Grad,SUC PURCHASE-GRAD,PUBLIC,3-SUNY SO,15
2002,5674,7026,G,Grad,MT SINAI SCHOOL OF MEDICINE,PRIVATE,5-INDEPENDENT,31
2002,5672,2698,G,Grad,CUNY COL STATEN ISLAND GRAD,PUBLIC,1-CUNY SR,7
2002,5665,2711,G,Grad,CORNELL UNIVERSITY- VET MED,PUBLIC,3-SUNY SO,49
2002,5660,2707,G,Grad,COLUMBIA UNIV  ARCHITECTURE GRAD,PRIVATE,5-INDEPENDENT,12
2002,5655,2707,G,Grad,COLUMBIA  UNIV ENGINEER GRAD,PRIVATE,5-INDEPENDENT,5
2002,5645,7273,G,Grad,CUNY  BARUCH COLL GRAD,PUBLIC,1-CUNY SR,40
2002,5640,2737,G,Grad,IONA COLLEGE GRAD,PRIVATE,5-INDEPENDENT,3
2002,5625,2842,G,Grad,SUC BUFFALO GRAD,PUBLIC,3-SUNY SO,44
2002,5620,4765,G,Grad,CUNY GRAD SCH AND UNIV CENTER,PUBLIC,1-CUNY SR,136
2002,5615,2850,G,Grad,SUC POTSDAM GRAD,PUBLIC,3-SUNY SO,85
2002,5610,2849,G,Grad,SUNY PLATTSBURGH GRAD,PUBLIC,3-SUNY SO,46
2002,5605,2843,G,Grad,SUC CORTLAND GRAD,PUBLIC,3-SUNY SO,26
2002,5600,38813,G,Grad,GRADUATE COLLEGE UNION UNIVERSITY,PRIVATE,5-INDEPENDENT,12
2002,5590,2847,G,Grad,SUC ONEONTA GRAD,PUBLIC,3-SUNY SO,8
2002,5585,2844,G,Grad,SUC FREDONIA GRAD,PUBLIC,3-SUNY SO,24
2002,5580,2722,G,Grad,FORDHAM U SCHOOL OF LAW,PRIVATE,5-INDEPENDENT,81
2002,5575,2882,G,Grad,SYRACUSE UNIVERSITY LAW,PRIVATE,5-INDEPENDENT,50
2002,5570,2751,G,Grad,LONG ISLAND UNIVERSITY,PRIVATE,5-INDEPENDENT,61
2002,5568,9929,G,Grad,SUNY COLLEGE OF OPTOMETRY,PUBLIC,3-SUNY SO,55
2002,5565,2846,G,Grad,SUC NEW PALTZ GRAD,PUBLIC,3-SUNY SO,47
2002,5560,2668,G,Grad,SUC CERAMICS AT ALFRED UNIV GRAD,PUBLIC,3-SUNY SO,1
2002,5555,2851,G,Grad,SUC ENV SCI&FORESTRY GRAD,PUBLIC,3-SUNY SO,35
2002,5550,2669,G,Grad,BANK ST COLL OF EDUC,PRIVATE,5-INDEPENDENT,8
2002,5545,24601,G,Grad,UNIV OF ROCHESTER - MED SCHOOL,PRIVATE,5-INDEPENDENT,43
2002,5540,2840,G,Grad,SUNY UPSTATE MEDICAL UNIV. (GRAD),PUBLIC,3-SUNY SO,199
2002,5536,2839,G,Grad,SUNY DOWNSTATE MED CENTER GRAD,PUBLIC,3-SUNY SO,8
2002,5535,2839,G,Grad,SUNY DOWNSTATE MEDICAL CENTER MED,PUBLIC,3-SUNY SO,207
2002,5533,2791,G,Grad,PACE UNIV SCH OF LAW WHITE PLAINS,PRIVATE,5-INDEPENDENT,34
2002,5530,2785,G,Grad,NEW YORK U SCH OF MEDICINE GRAD,PRIVATE,5-INDEPENDENT,40
2002,5520,2784,G,Grad,NEW YORK MEDICAL COLLEGE,PRIVATE,5-INDEPENDENT,75
2002,5515,2783,G,Grad,NEW YORK LAW SCHOOL,PRIVATE,5-INDEPENDENT,88
2002,5510,4762,G,Grad,CORNELL U MEDICAL COLLEGE,PRIVATE,5-INDEPENDENT,21
2002,5505,2707,G,Grad,COLUMBIA UNIV SOC WORK GRAD,PRIVATE,5-INDEPENDENT,45
2002,5495,2707,G,Grad,COLUMBIA UNIV LAW GRAD,PRIVATE,5-INDEPENDENT,41
2002,5490,2707,G,Grad,COLUMBIA UNIV JOURNALISM GRAD,PRIVATE,5-INDEPENDENT,3
2002,5489,2707,G,Grad,COLUMBIA UNIV PHYSICAL/OCCUP THER,PRIVATE,5-INDEPENDENT,15
2002,5488,2707,G,Grad,COLUMBIA UNIV PUB HEALTH/NUTRITIO,PRIVATE,5-INDEPENDENT,18
2002,5487,2707,G,Grad,COLUMBIA UNIV DENTISTRY GRAD,PRIVATE,5-INDEPENDENT,18
