Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Fall Headcount
2019,8206,37133,U,4 yr Undergrad,BEIS MEDRASH HEICHAL DOVID,PRIVATE,9-CHAPTER XXII,18
2019,940,2849,U,4 yr Undergrad,SUNY PLATTSBURGH (UNDERGRAD),PUBLIC,3-SUNY SO,1936
2019,685,2816,U,4 yr Undergrad,SIENA COLLEGE,PRIVATE,5-INDEPENDENT,872
2019,6020,2857,U,4 yr Undergrad,SUNY COLLEGE OF TECH AT DELHI,PUBLIC,3-SUNY SO,557
2019,2051,2713,U,4 yr Undergrad,DOMINICAN COLLEGE-WEEKEND 4YR UG,PRIVATE,5-INDEPENDENT,4
2019,6093,2763,U,4 yr Undergrad,MARIA COLLEGE 4 YR,PRIVATE,5-INDEPENDENT,33
2019,1409,7273,U,4 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,5565
2019,1405,2696,U,2 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,2344
2019,6315,10727,U,4 yr Undergrad,DEVRY COLLEGEE OF NEW YORK 4YR,PRIVATE,6-BUS. DEGREE,73
2019,35,2671,U,5 yr Undergrad,BARD COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1
2019,745,6443,U,2 yr Undergrad,ST JOHN'S RIVERSIDE HOSP NURS,PRIVATE,5-INDEPENDENT,11
2019,990,2889,U,4 yr Undergrad,UNION COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,176
2019,8277,42590,U,5 yr Undergrad,YESHIVA SHAAR EPHRAIM,PRIVATE,9-CHAPTER XXII,2
2019,7699,12358,U,2 yr Undergrad,PLAZA COLLEGE-2YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,308
2019,895,2835,U,4 yr Undergrad,SUNY ALBANY 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,5408
2019,2188,2896,U,4 yr Undergrad,VILLA MARIA COLL OF BUFFALO 4YR,PRIVATE,5-INDEPENDENT,251
2019,35,2671,U,4 yr Undergrad,BARD COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,229
2019,8302,31473,U,4 yr Undergrad,YESHIVA D'MONSEY,PRIVATE,9-CHAPTER XXII,42
2019,4975,11678,U,4 yr Undergrad,SUNY POLYTECHNIC INSTITUTE,PUBLIC,3-SUNY SO,885
2019,500,2775,U,2 yr Undergrad,MOLLOY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1
2019,2125,2876,U,2 yr Undergrad,ORANGE COUNTY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,879
2019,1415,10097,U,4 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,1468
2019,735,2821,U,5 yr Undergrad,ST JOHN FISHER COLLEGE UNDERGRAD,PRIVATE,5-INDEPENDENT,2
2019,1414,2693,U,5 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,84
2019,910,2843,U,4 yr Undergrad,SUC CORTLAND (UNDERGRAD),PUBLIC,3-SUNY SO,2346
2019,970,6791,U,4 yr Undergrad,SUC PURCHASE (UNDERGRAD),PUBLIC,3-SUNY SO,1566
2019,25,6435,U,4 yr Undergrad,ARNOT OGDEN MED CTR NURSING 4YR,PRIVATE,8-OTHER,1
2019,1405,2696,U,5 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,27
2019,1411,2688,U,4 yr Undergrad,CUNY CITY COLLEGE,PUBLIC,1-CUNY SR,5739
2019,2070,2866,U,2 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,971
2019,8207,42272,U,4 yr Undergrad,BET MEDRASH GADOL ATEREST TORAH,PRIVATE,9-CHAPTER XXII,26
2019,215,2718,U,4 yr Undergrad,ELMIRA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,228
2019,615,2798,U,5 yr Undergrad,PRATT INSTITUTE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,10
2019,8288,41155,U,4 yr Undergrad,TALMUDICAL SEMINARY OF BOBOV,PRIVATE,9-CHAPTER XXII,313
2019,500,2775,U,4 yr Undergrad,MOLLOY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,844
2019,8255,11984,U,4 yr Undergrad,OHR HAMEIR THEOLOGICAL SEMINARY,PRIVATE,9-CHAPTER XXII,22
2019,2070,2866,U,5 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1
2019,20,2668,U,5 yr Undergrad,ALFRED UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,7
2019,295,2731,U,5 yr Undergrad,HOBART AND WILLIAM SMITH COLLS 4Y,PRIVATE,5-INDEPENDENT,2
2019,6830,2678,U,4 yr Undergrad,BRYANT & STRATTON BBA ALBANY,PRIVATE,6-BUS. DEGREE,6
2019,403,2751,U,4 yr Undergrad,LONG ISLAND UNIV 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1687
2019,865,10142,U,4 yr Undergrad,TOURO COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1173
2019,1409,7273,U,5 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,12
2019,288,10153,U,4 yr Undergrad,HELENE FULD SCHOOL REG NURS BA,PRIVATE,5-INDEPENDENT,23
2019,1010,2837,U,2 yr Undergrad,SUNY BUFFALO 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,1
2019,6445,6438,U,4 yr Undergrad,PHILLIPS BETH ISRAEL NURSING BA,PRIVATE,5-INDEPENDENT,8
2019,1606,5877,U,2 yr Undergrad,S NASSAU HOSP SCH OF RAD TECH,PRIVATE,8-OTHER,1
2019,8316,17197,U,5 yr Undergrad,YESHIVA OF THE TELSHE ALUMNI,PRIVATE,9-CHAPTER XXII,1
2019,6734,2678,U,4 yr Undergrad,BRYANT & STRATTON GREECE,PRIVATE,6-BUS. DEGREE,7
2019,7480,8495,U,2 yr Undergrad,JAMESTOWN BUSINESS COLL 2 YR ASSO,PRIVATE,6-BUS. DEGREE,176
2019,1050,2901,U,4 yr Undergrad,WELLS COLLEGE,PRIVATE,5-INDEPENDENT,179
2019,1415,10097,U,2 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,831
2019,2260,6788,U,2 yr Undergrad,TOMPKINS CORTLAND COMM COLLEGE,PUBLIC,4-SUNY CC,801
2019,130,2703,U,5 yr Undergrad,COL OF MT ST VINCENT 4YR SEM,PRIVATE,5-INDEPENDENT,3
2019,1418,4759,U,2 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,1
2019,7736,2678,U,2 yr Undergrad,BRYANT & STRATTON SYRACUSE,PRIVATE,6-BUS. DEGREE,275
2019,3030,2859,U,5 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,3
2019,8266,8614,U,5 yr Undergrad,RABBINCAL COL BOBOVER YESHIV BNEI,PRIVATE,9-CHAPTER XXII,28
2019,7518,4799,U,2 yr Undergrad,MONROE COLLEGE ASSOCIATES DEG 2YR,PRIVATE,6-BUS. DEGREE,1336
2019,1418,4759,U,5 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,54
2019,3005,2854,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT ALFRED,PUBLIC,3-SUNY SO,1029
2019,8235,13026,U,5 yr Undergrad,MACHZIKEI HADATH RABBINICAL COLL,PRIVATE,9-CHAPTER XXII,8
2019,420,2760,U,4 yr Undergrad,MANHATTANVILLE COLLEGE 4YR UNDERG,PRIVATE,5-INDEPENDENT,424
2019,765,6467,U,2 yr Undergrad,ST JOSEPH COL NUR AT ST JOS HOSP,PRIVATE,5-INDEPENDENT,88
2019,855,2814,U,5 yr Undergrad,SKIDMORE COLLEGE,PRIVATE,5-INDEPENDENT,1
2019,1410,2687,U,4 yr Undergrad,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,6024
2019,1099,9769,U,4 yr Undergrad,METROPOLITAN COLL OF NEW YORK 4YR,PRIVATE,5-INDEPENDENT,270
2019,1412,7022,U,5 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,175
2019,174,2711,U,4 yr Undergrad,CORNELL UNIV STATUTORY COLLEGES,PUBLIC,3-SUNY SO,486
2019,615,2798,U,4 yr Undergrad,PRATT INSTITUTE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,180
2019,3020,2857,U,2 yr Undergrad,SUNY COLLEGE OF TECH AT DELHI,PUBLIC,3-SUNY SO,811
2019,3030,2859,U,2 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,909
2019,8201,11208,U,4 yr Undergrad,ASSOCIATED BETH RIVKAH SCHOOL,PRIVATE,9-CHAPTER XXII,39
2019,755,2825,U,2 yr Undergrad,ST JOSEPHS COLL BROOKLYN 4YR UG,PRIVATE,5-INDEPENDENT,1
2019,8322,31271,U,4 yr Undergrad,YESHIVAS NOVOMINSK,PRIVATE,9-CHAPTER XXII,23
2019,2120,2782,U,4 yr Undergrad,NEW YORK INST TECH 4YR,PRIVATE,5-INDEPENDENT,1158
2019,8255,11984,U,5 yr Undergrad,OHR HAMEIR THEOLOGICAL SEMINARY,PRIVATE,9-CHAPTER XXII,1
2019,1010,2837,U,4 yr Undergrad,SUNY BUFFALO 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,7439
2019,930,2847,U,5 yr Undergrad,SUC ONEONTA (UNDERGRAD),PUBLIC,3-SUNY SO,35
2019,3025,2858,U,2 yr Undergrad,SUNY COLLEGE OF TECH FARMINGDALE,PUBLIC,3-SUNY SO,543
2019,1607,21925,U,2 yr Undergrad,BELLEVUE HOSP SCH RADIOLOGIC TECH,PRIVATE,8-OTHER,3
2019,7901,41256,U,2 yr Undergrad,CAREER SCHOOL OF NY INC,PRIVATE,7-BUS. NON-DEG,20
2019,8310,11997,U,4 yr Undergrad,YESHIVA KARLIN STOLIN,PRIVATE,9-CHAPTER XXII,67
2019,2240,2867,U,2 yr Undergrad,FULTON MONTGOMERY COMM COLLEGE,PUBLIC,4-SUNY CC,599
2019,2140,2795,U,2 yr Undergrad,PAUL SMITHS COLLEGE 2 YR UNDEGRAD,PRIVATE,5-INDEPENDENT,28
2019,6010,2855,U,4 yr Undergrad,SUNY COLLEGE OF TECH AT CANTON,PUBLIC,3-SUNY SO,1043
2019,555,2785,U,4 yr Undergrad,NEW YORK UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,2322
2019,575,2790,U,5 yr Undergrad,NYACK COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,18
2019,2262,13029,U,5 yr Undergrad,BORICUA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,14
2019,2000,2860,U,2 yr Undergrad,ADIRONDACK COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,910
2019,505,2777,U,4 yr Undergrad,MEDAILLE COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,678
2019,90,2681,U,4 yr Undergrad,CANISIUS COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,660
2019,8228,10549,U,5 yr Undergrad,KEHILATH YAKOV RABBINCAL SEMINARY,PRIVATE,9-CHAPTER XXII,5
2019,7317,12358,U,2 yr Undergrad,PLAZA TEACH-OUT OF NYCI,PRIVATE,6-BUS. DEGREE,4
2019,375,2748,U,4 yr Undergrad,LEMOYNE COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,898
2019,2110,2778,U,5 yr Undergrad,MOUNT ST. MARY COLLEGE 4YR UNDERG,PRIVATE,5-INDEPENDENT,1
2019,915,2844,U,5 yr Undergrad,SUC FREDONIA (UNDERGRAD),PUBLIC,3-SUNY SO,13
2019,1417,2698,U,5 yr Undergrad,CUNY COL STATEN ISLAND,PUBLIC,1-CUNY SR,22
2019,2160,2881,U,2 yr Undergrad,WESTCHESTER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1652
2019,455,12203,U,2 yr Undergrad,ST PETERS HOSP COLLEGE OF NURSING,PRIVATE,5-INDEPENDENT,3
2019,8318,42645,U,4 yr Undergrad,YESHIVA OHR NAFTOLI,PRIVATE,9-CHAPTER XXII,1
2019,920,2845,U,5 yr Undergrad,SUC GENESEO (UNDERGRAD),PUBLIC,3-SUNY SO,1
2019,340,2742,U,4 yr Undergrad,JUILLIARD SCHOOL 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,13
2019,1620,6435,U,2 yr Undergrad,ARNOT OGDEN MED CTR RAD TECH 2YR,PRIVATE,8-OTHER,5
2019,2025,2862,U,2 yr Undergrad,BROOME COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1579
2019,975,2866,U,5 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,8
2019,8270,10378,U,4 yr Undergrad,RABBINICAL COLLEGE OF LONG ISLAND,PRIVATE,9-CHAPTER XXII,13
2019,2315,10727,U,2 yr Undergrad,DEVRY COLLEGE OF NEW YORK 2YR,PRIVATE,6-BUS. DEGREE,6
2019,916,10286,U,2 yr Undergrad,SUC EMPIRE STATE (2 YR UNDERGRAD),PUBLIC,3-SUNY SO,175
2019,880,2836,U,4 yr Undergrad,SUNY BINGHAMTON 4 YR(UNDERGRAD),PUBLIC,3-SUNY SO,4414
2019,695,2817,U,4 yr Undergrad,ST BONAVENTURE UNIVERSITY UG,PRIVATE,5-INDEPENDENT,489
2019,8204,41928,U,4 yr Undergrad,BE'ER YAAKOV TALMUDIC SEMINARY,PRIVATE,9-CHAPTER XXII,247
2019,650,2806,U,5 yr Undergrad,ROCHESTER INST TECH 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,22
2019,1422,4765,U,4 yr Undergrad,CUNY GRAD CTR-SCHOL OF LABOR UG,PUBLIC,1-CUNY SR,1
2019,2120,2782,U,5 yr Undergrad,NEW YORK INST TECH 4YR,PRIVATE,5-INDEPENDENT,16
2019,8271,42301,U,4 yr Undergrad,RABBINICAL COLL OHR YISROEL,PRIVATE,9-CHAPTER XXII,45
2019,2185,2875,U,2 yr Undergrad,ONONDAGA COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2124
2019,2113,2873,U,2 yr Undergrad,NASSAU COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,3011
2019,591,2791,U,4 yr Undergrad,PACE UNIVERSITY WESTCHESTER,PRIVATE,5-INDEPENDENT,623
2019,410,2759,U,4 yr Undergrad,MANHATTAN SCHOOL OF MUSIC 4 YR UN,PRIVATE,5-INDEPENDENT,14
2019,8264,10943,U,5 yr Undergrad,RABBINICAL COLLEGE BETH SHRAGA,PRIVATE,9-CHAPTER XXII,1
2019,330,2739,U,5 yr Undergrad,ITHACA COLLEGE,PRIVATE,5-INDEPENDENT,1
2019,6144,2812,U,4 yr Undergrad,TROCAIRE COLLEGE,PRIVATE,5-INDEPENDENT,9
2019,2105,2871,U,2 yr Undergrad,MOHAWK VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1659
2019,7937,31933,U,2 yr Undergrad,MANHATTAN SCHOOL OF COMPUTER TECH,PRIVATE,7-BUS. NON-DEG,153
2019,405,2758,U,4 yr Undergrad,MANHATTAN COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,854
2019,8312,41381,U,5 yr Undergrad,YESHIVA OF MACHZIKAI HADAS,PRIVATE,9-CHAPTER XXII,11
2019,550,20690,U,4 yr Undergrad,NEW YORK SCHOOL INTERIOR DESIGN,PRIVATE,5-INDEPENDENT,14
2019,8266,8614,U,4 yr Undergrad,RABBINCAL COL BOBOVER YESHIV BNEI,PRIVATE,9-CHAPTER XXII,207
2019,120,2699,U,4 yr Undergrad,CLARKSON UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,678
2019,8305,42159,U,4 yr Undergrad,YESHIVA GEDOLAH KESSER TORAH,PRIVATE,9-CHAPTER XXII,6
2019,650,2806,U,4 yr Undergrad,ROCHESTER INST TECH 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,2295
2019,2100,2772,U,4 yr Undergrad,MERCY COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,3009
2019,2256,7532,U,2 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1053
2019,8223,42432,U,4 yr Undergrad,CENTRAL YESHIVA BETH JOSEPH,PRIVATE,9-CHAPTER XXII,1
2019,955,2853,U,5 yr Undergrad,SUNY MARITIME COLLEGE,PUBLIC,3-SUNY SO,5
2019,865,10142,U,2 yr Undergrad,TOURO COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,482
2019,1010,2837,U,5 yr Undergrad,SUNY BUFFALO 4 YR (UNDERGRAD),PUBLIC,3-SUNY SO,78
2019,6010,2855,U,5 yr Undergrad,SUNY COLLEGE OF TECH AT CANTON,PUBLIC,3-SUNY SO,32
2019,2042,2863,U,2 yr Undergrad,CORNING COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,605
2019,960,2668,U,4 yr Undergrad,SUC CERAMICS AT ALFRED UNIV 4YR U,PUBLIC,3-SUNY SO,120
2019,755,2825,U,4 yr Undergrad,ST JOSEPHS COLL BROOKLYN 4YR UG,PRIVATE,5-INDEPENDENT,341
2019,1040,2899,U,4 yr Undergrad,WAGNER COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,94
2019,8277,42590,U,4 yr Undergrad,YESHIVA SHAAR EPHRAIM,PRIVATE,9-CHAPTER XXII,50
2019,6480,8495,U,4 yr Undergrad,JAMESTOWN BUSINESS COLL 4YR BBA,PRIVATE,6-BUS. DEGREE,25
2019,1550,21601,U,2 yr Undergrad,MARION S WHELAN PRAC NURSING TRIM,PRIVATE,8-OTHER,1
2019,171,2707,U,4 yr Undergrad,COLUMBIA UNIV,PRIVATE,5-INDEPENDENT,458
2019,210,6448,U,2 yr Undergrad,THE BELANGER SCHOOL OF NURSING,PRIVATE,5-INDEPENDENT,3
2019,751,2823,U,4 yr Undergrad,ST JOHNS UNIVERSITY 4YR UG,PRIVATE,5-INDEPENDENT,3446
2019,555,2785,U,5 yr Undergrad,NEW YORK UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,18
2019,437,12364,U,2 yr Undergrad,ST PAUL'S SCH NURSING,PRIVATE,5-INDEPENDENT,39
2019,6270,25994,U,4 yr Undergrad,NY COLL HEALTH PROF 4YR UG,PRIVATE,5-INDEPENDENT,20
2019,7131,5208,U,2 yr Undergrad,COLL WESTCHESTER ONLINE ASSOC EVE,PRIVATE,6-BUS. DEGREE,9
2019,8321,42456,U,4 yr Undergrad,YESHIVAS MAHARIT D'SATMAR,PRIVATE,9-CHAPTER XXII,68
2019,175,2711,U,4 yr Undergrad,CORNELL UNIVERSITY,PRIVATE,5-INDEPENDENT,737
2019,6015,2856,U,4 yr Undergrad,SUNY COBLESKILL,PUBLIC,3-SUNY SO,627
2019,1075,7465,U,2 yr Undergrad,AMERICAN ACAD OF DRAMATIC ARTS,PRIVATE,5-INDEPENDENT,8
2019,7977,7401,U,2 yr Undergrad,MANDL SCHOOL,PRIVATE,6-BUS. DEGREE,245
2019,2065,10684,U,5 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2
2019,440,2765,U,4 yr Undergrad,MARIST COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,567
2019,8235,13026,U,4 yr Undergrad,MACHZIKEI HADATH RABBINICAL COLL,PRIVATE,9-CHAPTER XXII,30
2019,407,2758,U,4 yr Undergrad,MANHATTAN COLLEGE - 2 YR,PRIVATE,5-INDEPENDENT,60
2019,8272,31292,U,4 yr Undergrad,RABBINICAL COLLEGE OF OHR SHIMON,PRIVATE,9-CHAPTER XXII,111
2019,6140,2795,U,4 yr Undergrad,PAUL SMITHS COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,226
2019,155,2708,U,4 yr Undergrad,BARNARD COLLEGE,PRIVATE,5-INDEPENDENT,214
2019,6836,2678,U,4 yr Undergrad,BRYANT & STRATTON BBA SYRACUSE,PRIVATE,6-BUS. DEGREE,17
2019,355,40953,U,4 yr Undergrad,THE KING'S COLLEGE,PRIVATE,5-INDEPENDENT,13
2019,2258,7111,U,2 yr Undergrad,NORTH COUNTRY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,268
2019,8316,17197,U,4 yr Undergrad,YESHIVA OF THE TELSHE ALUMNI,PRIVATE,9-CHAPTER XXII,14
2019,8264,10943,U,4 yr Undergrad,RABBINICAL COLLEGE BETH SHRAGA,PRIVATE,9-CHAPTER XXII,5
2019,438,12364,U,2 yr Undergrad,ST PAUL'S SCH NURSING MED ASSIST,PRIVATE,5-INDEPENDENT,64
2019,970,6791,U,5 yr Undergrad,SUC PURCHASE (UNDERGRAD),PUBLIC,3-SUNY SO,10
2019,940,2849,U,5 yr Undergrad,SUNY PLATTSBURGH (UNDERGRAD),PUBLIC,3-SUNY SO,31
2019,8237,9335,U,4 yr Undergrad,MESIVTA EASTRN PKWY RABBINICAL CL,PRIVATE,9-CHAPTER XXII,1
2019,916,10286,U,4 yr Undergrad,SUC EMPIRE STATE (2 YR UNDERGRAD),PUBLIC,3-SUNY SO,3
2019,2270,25994,U,2 yr Undergrad,NY COLLEGE OF HEALTH PROFESSIONS,PRIVATE,5-INDEPENDENT,46
2019,535,20662,U,5 yr Undergrad,THE NEW SCHOOL 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,2
2019,195,2712,U,5 yr Undergrad,D'YOUVILLE COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,12
2019,345,2744,U,4 yr Undergrad,KEUKA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,509
2019,710,6461,U,2 yr Undergrad,ST ELIZABETH COLLEGE OF NURSING,PRIVATE,5-INDEPENDENT,43
2019,840,9248,U,2 yr Undergrad,SAMARITAN HOSP SCH OF NURSING,PRIVATE,5-INDEPENDENT,4
2019,913,10286,U,4 yr Undergrad,SUC EMPIRE STATE (UNDERGRAD),PUBLIC,3-SUNY SO,1096
2019,6005,2854,U,4 yr Undergrad,SUNY COLLEGE OF TECH AT ALFRED,PUBLIC,3-SUNY SO,815
2019,6045,7304,U,4 yr Undergrad,CULINARY INSTITUTE OF AMERICA 4YR,PRIVATE,5-INDEPENDENT,66
2019,7730,2678,U,2 yr Undergrad,BRYANT & STRATTON ALBANY,PRIVATE,6-BUS. DEGREE,135
2019,7816,31207,U,2 yr Undergrad,THE NY CONSERV FOR DRAMATIC ARTS,PRIVATE,6-BUS. DEGREE,17
2019,325,2737,U,4 yr Undergrad,IONA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,839
2019,8298,38023,U,5 yr Undergrad,UTA MESIVTA OF KIRYAS JOEL,PRIVATE,9-CHAPTER XXII,196
2019,1030,2895,U,4 yr Undergrad,VASSAR COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,180
2019,330,2739,U,4 yr Undergrad,ITHACA COLLEGE,PRIVATE,5-INDEPENDENT,912
2019,8223,42432,U,5 yr Undergrad,CENTRAL YESHIVA BETH JOSEPH,PRIVATE,9-CHAPTER XXII,1
2019,6025,2858,U,4 yr Undergrad,SUNY COLLEGE OF TECH FARMINGDALE,PUBLIC,3-SUNY SO,2293
2019,8228,10549,U,4 yr Undergrad,KEHILATH YAKOV RABBINCAL SEMINARY,PRIVATE,9-CHAPTER XXII,100
2019,8207,42272,U,5 yr Undergrad,BET MEDRASH GADOL ATEREST TORAH,PRIVATE,9-CHAPTER XXII,1
2019,950,2851,U,5 yr Undergrad,SUC ENV SCI&FORESTRY 4YRUNDERGRAD,PUBLIC,3-SUNY SO,9
2019,965,7109,U,5 yr Undergrad,SUC OLD WESTBURY (UNDERGRAD),PUBLIC,3-SUNY SO,38
2019,7738,20937,U,2 yr Undergrad,LONG ISLAND BUS INST UG SEMESTER,PRIVATE,6-BUS. DEGREE,553
2019,2083,2735,U,4 yr Undergrad,HILBERT COLLEGE,PRIVATE,5-INDEPENDENT,343
2019,535,20662,U,4 yr Undergrad,THE NEW SCHOOL 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,224
2019,6018,4799,U,4 yr Undergrad,MONROE COLLEGE BACHELORS DEG 4YR,PRIVATE,6-BUS. DEGREE,1307
2019,560,2788,U,4 yr Undergrad,NIAGARA UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,874
2019,10,2666,U,4 yr Undergrad,ADELPHI UNIVERSITY 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1605
2019,8319,34963,U,4 yr Undergrad,YESHIVA SHAAREI TORAH OF ROCKLAND,PRIVATE,9-CHAPTER XXII,6
2019,305,2734,U,4 yr Undergrad,HOUGHTON COLLEGE,PRIVATE,5-INDEPENDENT,325
2019,560,2788,U,5 yr Undergrad,NIAGARA UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1
2019,900,2841,U,5 yr Undergrad,SUC BROCKPORT (UNDERGRAD),PUBLIC,3-SUNY SO,94
2019,8314,11670,U,4 yr Undergrad,YESHIVA OF NITRA RABBINICAL COLLE,PRIVATE,9-CHAPTER XXII,121
2019,975,2866,U,4 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,848
2019,3015,2856,U,2 yr Undergrad,SUNY COBLESKILL,PUBLIC,3-SUNY SO,436
2019,7121,5208,U,2 yr Undergrad,COLL WESTCHESTER 2YR EVE,PRIVATE,6-BUS. DEGREE,70
2019,1404,2691,U,2 yr Undergrad,CUNY MANHATTAN CC,PUBLIC,2-CUNY CC,7790
2019,1415,10097,U,5 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,12
2019,945,2850,U,4 yr Undergrad,SUC POTSDAM (UNDERGRAD),PUBLIC,3-SUNY SO,1580
2019,775,2829,U,4 yr Undergrad,ST LAWRENCE UNIVERSITY 4YR UG,PRIVATE,5-INDEPENDENT,344
2019,2035,2685,U,4 yr Undergrad,CAZENOVIA COLLEGE,PRIVATE,5-INDEPENDENT,359
2019,2235,2665,U,5 yr Undergrad,VAUGHN COLL AERONAUTICS TECH,PRIVATE,5-INDEPENDENT,5
2019,935,2848,U,5 yr Undergrad,SUC OSWEGO (UNDERGRAD),PUBLIC,3-SUNY SO,31
2019,762,2825,U,4 yr Undergrad,ST JOSEPHS COLL PATCHOGUE WEEKEND,PRIVATE,5-INDEPENDENT,11
2019,7718,4799,U,2 yr Undergrad,MONROE COLLEGE NURSING CERT PROG,PRIVATE,6-BUS. DEGREE,11
2019,2243,6785,U,2 yr Undergrad,SCHENECTADY COUNTY COMM COLLEGE,PUBLIC,4-SUNY CC,729
2019,6030,2859,U,5 yr Undergrad,MORRISVILLE STATE COLLEGE,PUBLIC,3-SUNY SO,14
2019,525,2779,U,4 yr Undergrad,NAZARETH COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,693
2019,855,2814,U,4 yr Undergrad,SKIDMORE COLLEGE,PRIVATE,5-INDEPENDENT,279
2019,955,2853,U,4 yr Undergrad,SUNY MARITIME COLLEGE,PUBLIC,3-SUNY SO,305
2019,525,2779,U,5 yr Undergrad,NAZARETH COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,3
