DBN,School Name,Category,Cohort Year,Cohort,Cohort #,Total Grads #,Total Grads % of cohort,Total Regents#,Total Regents% of cohort,Total Regents% of grads,Advanced Regents#,Advanced Regents% of cohort,Advanced Regents% of grads,Regents without Advanced#,Regents without Advanced% of cohort,Regents without Advanced% of grads,Local#,Local% of cohort,Local% of grads,Still Enrolled#,Still Enrolled% of cohort,Dropout#,Dropout% of cohort
84K357,KIPP AMP Charter School,All Students,2012,4 year August,24,24,100.0,24,100.0,100.0,12,50.0,50.0,12,50.0,50.0,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2011,4 year August,23,23,100.0,23,100.0,100.0,7,30.4,30.4,16,69.6,69.6,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2010,4 year August,23,22,95.7,22,95.7,100.0,9,39.1,40.9,13,56.5,59.1,0,0.0,0.0,0,0.0,1,4.3
84K357,KIPP AMP Charter School,All Students,2009,4 year August,22,19,86.4,19,86.4,100.0,8,36.4,42.1,11,50.0,57.9,0,0.0,0.0,3,13.6,0,0.0
84K357,KIPP AMP Charter School,All Students,2014,4 year June,39,32,82.1,31,79.5,96.9,17,43.6,53.1,14,35.9,43.8,1,2.6,3.1,3,7.7,3,7.7
84K357,KIPP AMP Charter School,All Students,2013,4 year June,26,23,88.5,22,84.6,95.7,8,30.8,34.8,14,53.8,60.9,1,3.8,4.3,3,11.5,0,0.0
84K357,KIPP AMP Charter School,All Students,2012,4 year June,24,22,91.7,22,91.7,100.0,12,50.0,54.5,10,41.7,45.5,0,0.0,0.0,2,8.3,0,0.0
84K357,KIPP AMP Charter School,All Students,2011,4 year June,23,21,91.3,21,91.3,100.0,7,30.4,33.3,14,60.9,66.7,0,0.0,0.0,2,8.7,0,0.0
84K357,KIPP AMP Charter School,All Students,2010,4 year June,23,20,87.0,20,87.0,100.0,9,39.1,45.0,11,47.8,55.0,0,0.0,0.0,2,8.7,1,4.3
84K357,KIPP AMP Charter School,All Students,2009,4 year June,22,15,68.2,15,68.2,100.0,3,13.6,20.0,12,54.5,80.0,0,0.0,0.0,7,31.8,0,0.0
84K357,KIPP AMP Charter School,All Students,2013,5 year August,26,26,100.0,25,96.2,96.2,8,30.8,30.8,17,65.4,65.4,1,3.8,3.8,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2012,5 year August,24,24,100.0,24,100.0,100.0,12,50.0,50.0,12,50.0,50.0,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2011,5 year August,23,23,100.0,23,100.0,100.0,7,30.4,30.4,16,69.6,69.6,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2010,5 year August,23,22,95.7,22,95.7,100.0,9,39.1,40.9,13,56.5,59.1,0,0.0,0.0,0,0.0,1,4.3
84K357,KIPP AMP Charter School,All Students,2009,5 year August,19,19,100.0,19,100.0,100.0,8,42.1,42.1,11,57.9,57.9,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2013,5 year June,26,26,100.0,25,96.2,96.2,8,30.8,30.8,17,65.4,65.4,1,3.8,3.8,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2012,5 year June,24,24,100.0,24,100.0,100.0,12,50.0,50.0,12,50.0,50.0,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2011,5 year June,23,23,100.0,23,100.0,100.0,7,30.4,30.4,16,69.6,69.6,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2010,5 year June,23,22,95.7,22,95.7,100.0,9,39.1,40.9,13,56.5,59.1,0,0.0,0.0,0,0.0,1,4.3
84K357,KIPP AMP Charter School,All Students,2009,5 year June,19,18,94.7,18,94.7,100.0,8,42.1,44.4,10,52.6,55.6,0,0.0,0.0,1,5.3,0,0.0
84K357,KIPP AMP Charter School,All Students,2012,6 year June,24,24,100.0,24,100.0,100.0,12,50.0,50.0,12,50.0,50.0,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2011,6 year June,23,23,100.0,23,100.0,100.0,7,30.4,30.4,16,69.6,69.6,0,0.0,0.0,0,0.0,0,0.0
84K357,KIPP AMP Charter School,All Students,2010,6 year June,23,22,95.7,22,95.7,100.0,9,39.1,40.9,13,56.5,59.1,0,0.0,0.0,0,0.0,1,4.3
84K357,KIPP AMP Charter School,All Students,2009,6 year June,19,19,100.0,19,100.0,100.0,8,42.1,42.1,11,57.9,57.9,0,0.0,0.0,0,0.0,0,0.0
84K358,Achievement First East New York Charter School,All Students,2014,4 year August,25,18,72.0,18,72.0,100.0,0,0.0,0.0,18,72.0,100.0,0,0.0,0.0,5,20.0,1,4.0
84K358,Achievement First East New York Charter School,All Students,2013,4 year August,30,22,73.3,22,73.3,100.0,0,0.0,0.0,22,73.3,100.0,0,0.0,0.0,6,20.0,2,6.7
84K358,Achievement First East New York Charter School,All Students,2012,4 year August,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K358,Achievement First East New York Charter School,All Students,2014,4 year June,25,18,72.0,18,72.0,100.0,0,0.0,0.0,18,72.0,100.0,0,0.0,0.0,5,20.0,1,4.0
84K358,Achievement First East New York Charter School,All Students,2013,4 year June,30,22,73.3,22,73.3,100.0,0,0.0,0.0,22,73.3,100.0,0,0.0,0.0,6,20.0,2,6.7
84K358,Achievement First East New York Charter School,All Students,2012,4 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K358,Achievement First East New York Charter School,All Students,2013,5 year August,30,28,93.3,28,93.3,100.0,0,0.0,0.0,28,93.3,100.0,0,0.0,0.0,0,0.0,2,6.7
84K358,Achievement First East New York Charter School,All Students,2012,5 year August,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K358,Achievement First East New York Charter School,All Students,2013,5 year June,30,28,93.3,28,93.3,100.0,0,0.0,0.0,28,93.3,100.0,0,0.0,0.0,0,0.0,2,6.7
84K358,Achievement First East New York Charter School,All Students,2012,5 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K358,Achievement First East New York Charter School,All Students,2012,6 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K359,The Uft Charter School,All Students,2014,4 year August,73,58,79.5,47,64.4,81.0,0,0.0,0.0,47,64.4,81.0,11,15.1,19.0,12,16.4,3,4.1
84K359,The Uft Charter School,All Students,2013,4 year August,90,75,83.3,62,68.9,82.7,1,1.1,1.3,61,67.8,81.3,13,14.4,17.3,13,14.4,2,2.2
84K359,The Uft Charter School,All Students,2012,4 year August,73,54,74.0,41,56.2,75.9,1,1.4,1.9,40,54.8,74.1,13,17.8,24.1,19,26.0,0,0.0
84K359,The Uft Charter School,All Students,2011,4 year August,36,28,77.8,25,69.4,89.3,4,11.1,14.3,21,58.3,75.0,3,8.3,10.7,7,19.4,1,2.8
84K359,The Uft Charter School,All Students,2010,4 year August,50,46,92.0,43,86.0,93.5,4,8.0,8.7,39,78.0,84.8,3,6.0,6.5,4,8.0,0,0.0
84K359,The Uft Charter School,All Students,2009,4 year August,61,52,85.2,52,85.2,100.0,7,11.5,13.5,45,73.8,86.5,0,0.0,0.0,3,4.9,0,0.0
84K359,The Uft Charter School,All Students,2014,4 year June,73,58,79.5,47,64.4,81.0,0,0.0,0.0,47,64.4,81.0,11,15.1,19.0,12,16.4,3,4.1
84K359,The Uft Charter School,All Students,2013,4 year June,90,75,83.3,62,68.9,82.7,1,1.1,1.3,61,67.8,81.3,13,14.4,17.3,13,14.4,2,2.2
84K359,The Uft Charter School,All Students,2012,4 year June,73,53,72.6,41,56.2,77.4,1,1.4,1.9,40,54.8,75.5,12,16.4,22.6,20,27.4,0,0.0
84K359,The Uft Charter School,All Students,2011,4 year June,36,28,77.8,25,69.4,89.3,4,11.1,14.3,21,58.3,75.0,3,8.3,10.7,7,19.4,1,2.8
84K359,The Uft Charter School,All Students,2010,4 year June,50,44,88.0,41,82.0,93.2,4,8.0,9.1,37,74.0,84.1,3,6.0,6.8,6,12.0,0,0.0
84K359,The Uft Charter School,All Students,2009,4 year June,61,52,85.2,52,85.2,100.0,7,11.5,13.5,45,73.8,86.5,0,0.0,0.0,4,6.6,0,0.0
84K359,The Uft Charter School,All Students,2013,5 year August,86,77,89.5,63,73.3,81.8,1,1.2,1.3,62,72.1,80.5,14,16.3,18.2,5,5.8,4,4.7
84K359,The Uft Charter School,All Students,2012,5 year August,69,66,95.7,52,75.4,78.8,1,1.4,1.5,51,73.9,77.3,14,20.3,21.2,3,4.3,0,0.0
84K359,The Uft Charter School,All Students,2011,5 year August,36,30,83.3,26,72.2,86.7,4,11.1,13.3,22,61.1,73.3,4,11.1,13.3,5,13.9,1,2.8
84K359,The Uft Charter School,All Students,2010,5 year August,50,46,92.0,43,86.0,93.5,4,8.0,8.7,39,78.0,84.8,3,6.0,6.5,4,8.0,0,0.0
84K359,The Uft Charter School,All Students,2009,5 year August,60,58,96.7,52,86.7,89.7,7,11.7,12.1,45,75.0,77.6,6,10.0,10.3,2,3.3,0,0.0
84K359,The Uft Charter School,All Students,2013,5 year June,86,77,89.5,63,73.3,81.8,1,1.2,1.3,62,72.1,80.5,14,16.3,18.2,5,5.8,4,4.7
84K359,The Uft Charter School,All Students,2012,5 year June,69,66,95.7,52,75.4,78.8,1,1.4,1.5,51,73.9,77.3,14,20.3,21.2,3,4.3,0,0.0
84K359,The Uft Charter School,All Students,2011,5 year June,36,30,83.3,26,72.2,86.7,4,11.1,13.3,22,61.1,73.3,4,11.1,13.3,5,13.9,1,2.8
84K359,The Uft Charter School,All Students,2010,5 year June,50,46,92.0,43,86.0,93.5,4,8.0,8.7,39,78.0,84.8,3,6.0,6.5,4,8.0,0,0.0
84K359,The Uft Charter School,All Students,2009,5 year June,60,58,96.7,52,86.7,89.7,7,11.7,12.1,45,75.0,77.6,6,10.0,10.3,2,3.3,0,0.0
84K359,The Uft Charter School,All Students,2012,6 year June,69,66,95.7,52,75.4,78.8,1,1.4,1.5,51,73.9,77.3,14,20.3,21.2,0,0.0,2,2.9
84K359,The Uft Charter School,All Students,2011,6 year June,36,31,86.1,26,72.2,83.9,4,11.1,12.9,22,61.1,71.0,5,13.9,16.1,2,5.6,2,5.6
84K359,The Uft Charter School,All Students,2010,6 year June,49,49,100.0,46,93.9,93.9,4,8.2,8.2,42,85.7,85.7,3,6.1,6.1,0,0.0,0,0.0
84K359,The Uft Charter School,All Students,2009,6 year June,60,59,98.3,53,88.3,89.8,7,11.7,11.9,46,76.7,78.0,6,10.0,10.2,1,1.7,0,0.0
84K395,New Visions A.I.M. Charter High School I,All Students,2014,4 year August,84,23,27.4,10,11.9,43.5,0,0.0,0.0,10,11.9,43.5,13,15.5,56.5,32,38.1,25,29.8
84K395,New Visions A.I.M. Charter High School I,All Students,2013,4 year August,61,15,24.6,5,8.2,33.3,0,0.0,0.0,5,8.2,33.3,10,16.4,66.7,22,36.1,22,36.1
84K395,New Visions A.I.M. Charter High School I,All Students,2012,4 year August,93,6,6.5,5,5.4,83.3,0,0.0,0.0,5,5.4,83.3,1,1.1,16.7,30,32.3,56,60.2
84K395,New Visions A.I.M. Charter High School I,All Students,2011,4 year August,26,1,3.8,1,3.8,100.0,0,0.0,0.0,1,3.8,100.0,0,0.0,0.0,13,50.0,12,46.2
84K395,New Visions A.I.M. Charter High School I,All Students,2010,4 year August,19,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,14,73.7,4,21.1
84K395,New Visions A.I.M. Charter High School I,All Students,2009,4 year August,13,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,13,100.0,0,0.0
84K395,New Visions A.I.M. Charter High School I,All Students,2014,4 year June,84,21,25.0,9,10.7,42.9,0,0.0,0.0,9,10.7,42.9,12,14.3,57.1,34,40.5,25,29.8
84K395,New Visions A.I.M. Charter High School I,All Students,2013,4 year June,61,14,23.0,5,8.2,35.7,0,0.0,0.0,5,8.2,35.7,9,14.8,64.3,23,37.7,22,36.1
84K395,New Visions A.I.M. Charter High School I,All Students,2012,4 year June,93,6,6.5,5,5.4,83.3,0,0.0,0.0,5,5.4,83.3,1,1.1,16.7,30,32.3,56,60.2
84K395,New Visions A.I.M. Charter High School I,All Students,2011,4 year June,26,1,3.8,1,3.8,100.0,0,0.0,0.0,1,3.8,100.0,0,0.0,0.0,13,50.0,12,46.2
84K395,New Visions A.I.M. Charter High School I,All Students,2010,4 year June,19,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,14,73.7,4,21.1
84K395,New Visions A.I.M. Charter High School I,All Students,2009,4 year June,13,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,13,100.0,0,0.0
84K395,New Visions A.I.M. Charter High School I,All Students,2013,5 year August,64,21,32.8,9,14.1,42.9,0,0.0,0.0,9,14.1,42.9,12,18.8,57.1,10,15.6,30,46.9
84K395,New Visions A.I.M. Charter High School I,All Students,2012,5 year August,92,11,12.0,6,6.5,54.5,0,0.0,0.0,6,6.5,54.5,5,5.4,45.5,15,16.3,63,68.5
84K395,New Visions A.I.M. Charter High School I,All Students,2011,5 year August,26,5,19.2,5,19.2,100.0,0,0.0,0.0,5,19.2,100.0,0,0.0,0.0,6,23.1,15,57.7
84K395,New Visions A.I.M. Charter High School I,All Students,2010,5 year August,17,1,5.9,1,5.9,100.0,0,0.0,0.0,1,5.9,100.0,0,0.0,0.0,3,17.6,10,58.8
84K395,New Visions A.I.M. Charter High School I,All Students,2009,5 year August,15,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,4,26.7,11,73.3
84K395,New Visions A.I.M. Charter High School I,All Students,2013,5 year June,64,20,31.3,9,14.1,45.0,0,0.0,0.0,9,14.1,45.0,11,17.2,55.0,11,17.2,30,46.9
84K395,New Visions A.I.M. Charter High School I,All Students,2012,5 year June,92,10,10.9,6,6.5,60.0,0,0.0,0.0,6,6.5,60.0,4,4.3,40.0,16,17.4,63,68.5
84K395,New Visions A.I.M. Charter High School I,All Students,2011,5 year June,26,5,19.2,5,19.2,100.0,0,0.0,0.0,5,19.2,100.0,0,0.0,0.0,6,23.1,15,57.7
84K395,New Visions A.I.M. Charter High School I,All Students,2010,5 year June,17,1,5.9,1,5.9,100.0,0,0.0,0.0,1,5.9,100.0,0,0.0,0.0,3,17.6,10,58.8
84K395,New Visions A.I.M. Charter High School I,All Students,2009,5 year June,15,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,4,26.7,11,73.3
84K395,New Visions A.I.M. Charter High School I,All Students,2012,6 year June,91,12,13.2,6,6.6,50.0,0,0.0,0.0,6,6.6,50.0,6,6.6,50.0,7,7.7,69,75.8
84K395,New Visions A.I.M. Charter High School I,All Students,2011,6 year June,25,6,24.0,5,20.0,83.3,0,0.0,0.0,5,20.0,83.3,1,4.0,16.7,4,16.0,15,60.0
84K395,New Visions A.I.M. Charter High School I,All Students,2010,6 year June,16,2,12.5,2,12.5,100.0,0,0.0,0.0,2,12.5,100.0,0,0.0,0.0,0,0.0,12,75.0
84K395,New Visions A.I.M. Charter High School I,All Students,2009,6 year June,13,0,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2,15.4,10,76.9
84K417,Urban Dove Charter School,All Students,2014,4 year August,99,12,12.1,5,5.1,41.7,0,0.0,0.0,5,5.1,41.7,7,7.1,58.3,70,70.7,14,14.1
84K417,Urban Dove Charter School,All Students,2013,4 year August,96,20,20.8,9,9.4,45.0,0,0.0,0.0,9,9.4,45.0,11,11.5,55.0,53,55.2,23,24.0
84K417,Urban Dove Charter School,All Students,2012,4 year August,89,20,22.5,8,9.0,40.0,0,0.0,0.0,8,9.0,40.0,12,13.5,60.0,43,48.3,21,23.6
84K417,Urban Dove Charter School,All Students,2011,4 year August,95,11,11.6,11,11.6,100.0,0,0.0,0.0,11,11.6,100.0,0,0.0,0.0,74,77.9,9,9.5
84K417,Urban Dove Charter School,All Students,2010,4 year August,24,1,4.2,1,4.2,100.0,0,0.0,0.0,1,4.2,100.0,0,0.0,0.0,21,87.5,2,8.3
84K417,Urban Dove Charter School,All Students,2009,4 year August,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K417,Urban Dove Charter School,All Students,2014,4 year June,99,12,12.1,5,5.1,41.7,0,0.0,0.0,5,5.1,41.7,7,7.1,58.3,70,70.7,14,14.1
84K417,Urban Dove Charter School,All Students,2013,4 year June,96,20,20.8,9,9.4,45.0,0,0.0,0.0,9,9.4,45.0,11,11.5,55.0,53,55.2,23,24.0
84K417,Urban Dove Charter School,All Students,2012,4 year June,89,16,18.0,8,9.0,50.0,0,0.0,0.0,8,9.0,50.0,8,9.0,50.0,47,52.8,21,23.6
84K417,Urban Dove Charter School,All Students,2011,4 year June,95,10,10.5,10,10.5,100.0,0,0.0,0.0,10,10.5,100.0,0,0.0,0.0,75,78.9,9,9.5
84K417,Urban Dove Charter School,All Students,2010,4 year June,24,1,4.2,1,4.2,100.0,0,0.0,0.0,1,4.2,100.0,0,0.0,0.0,21,87.5,2,8.3
84K417,Urban Dove Charter School,All Students,2009,4 year June,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
84K417,Urban Dove Charter School,All Students,2013,5 year August,95,37,38.9,21,22.1,56.8,0,0.0,0.0,21,22.1,56.8,16,16.8,43.2,22,23.2,35,36.8
84K417,Urban Dove Charter School,All Students,2012,5 year August,86,33,38.4,16,18.6,48.5,0,0.0,0.0,16,18.6,48.5,17,19.8,51.5,17,19.8,34,39.5
84K417,Urban Dove Charter School,All Students,2011,5 year August,80,30,37.5,17,21.3,56.7,0,0.0,0.0,17,21.3,56.7,13,16.3,43.3,24,30.0,25,31.3
84K417,Urban Dove Charter School,All Students,2010,5 year August,25,2,8.0,2,8.0,100.0,0,0.0,0.0,2,8.0,100.0,0,0.0,0.0,17,68.0,6,24.0
84K417,Urban Dove Charter School,All Students,2009,5 year August,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
