DBN,School Name,Grade Level,Program Type,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M015,PS 015 ROBERTO CLEMENTE,K,G&T,8,1,8,8,8
01M015,PS 015 ROBERTO CLEMENTE,K,ICT,20,1,20,20,20
01M015,PS 015 ROBERTO CLEMENTE,1,G&T,11,1,11,11,11
01M015,PS 015 ROBERTO CLEMENTE,1,ICT,21,1,21,21,21
01M015,PS 015 ROBERTO CLEMENTE,2,G&T,15,1,15,15,15
01M015,PS 015 ROBERTO CLEMENTE,2,ICT,18,1,18,18,18
01M015,PS 015 ROBERTO CLEMENTE,3,G&T,10,1,10,10,10
01M015,PS 015 ROBERTO CLEMENTE,3,ICT,13,1,13,13,13
01M015,PS 015 ROBERTO CLEMENTE,4,Gen Ed,9,1,9,9,9
01M015,PS 015 ROBERTO CLEMENTE,4,ICT,22,1,22,22,22
01M015,PS 015 ROBERTO CLEMENTE,5,ICT,26,1,26,26,26
01M019,PS 019 ASHER LEVY,K,Gen Ed,13,1,13,13,13
01M019,PS 019 ASHER LEVY,K,ICT,20,2,10,8,12
01M019,PS 019 ASHER LEVY,1,Gen Ed,13,1,13,13,13
01M019,PS 019 ASHER LEVY,1,ICT,20,2,10,8,12
01M019,PS 019 ASHER LEVY,2,Gen Ed,12,1,12,12,12
01M019,PS 019 ASHER LEVY,2,ICT,27,2,13.5,13,14
01M019,PS 019 ASHER LEVY,3,ICT,44,3,14.7,13,17
01M019,PS 019 ASHER LEVY,4,Gen Ed,23,1,23,23,23
01M019,PS 019 ASHER LEVY,4,ICT,14,1,14,14,14
01M019,PS 019 ASHER LEVY,5,Gen Ed,22,1,22,22,22
01M019,PS 019 ASHER LEVY,5,ICT,16,1,16,16,16
01M020,PS 020 ANNA SILVER,K,Gen Ed,48,3,16,13,22
01M020,PS 020 ANNA SILVER,K,ICT,21,1,21,21,21
01M020,PS 020 ANNA SILVER,1,Gen Ed,48,3,16,15,17
01M020,PS 020 ANNA SILVER,1,ICT,28,1,28,28,28
01M020,PS 020 ANNA SILVER,2,Gen Ed,46,3,15.3,11,23
01M020,PS 020 ANNA SILVER,2,ICT,18,1,18,18,18
01M020,PS 020 ANNA SILVER,3,Gen Ed,54,3,18,15,24
01M020,PS 020 ANNA SILVER,3,ICT,25,1,25,25,25
01M020,PS 020 ANNA SILVER,4,Gen Ed,20,1,20,20,20
01M020,PS 020 ANNA SILVER,4,ICT,55,2,27.5,26,29
01M020,PS 020 ANNA SILVER,5,Gen Ed,41,2,20.5,20,21
01M020,PS 020 ANNA SILVER,5,ICT,21,1,21,21,21
01M034,PS 034 FRANKLIN D ROOSEVELT,K,ICT,24,1,24,24,24
01M034,PS 034 FRANKLIN D ROOSEVELT,1,ICT,18,1,18,18,18
01M034,PS 034 FRANKLIN D ROOSEVELT,2,ICT,22,1,22,22,22
01M034,PS 034 FRANKLIN D ROOSEVELT,3,Gen Ed,25,1,25,25,25
01M034,PS 034 FRANKLIN D ROOSEVELT,3,ICT,22,1,22,22,22
01M034,PS 034 FRANKLIN D ROOSEVELT,4,Gen Ed,16,1,16,16,16
01M034,PS 034 FRANKLIN D ROOSEVELT,4,ICT,19,1,19,19,19
01M034,PS 034 FRANKLIN D ROOSEVELT,5,Gen Ed,17,1,17,17,17
01M034,PS 034 FRANKLIN D ROOSEVELT,5,ICT,19,1,19,19,19
01M034,PS 034 FRANKLIN D ROOSEVELT,6,Gen Ed,19,1,19,19,19
01M034,PS 034 FRANKLIN D ROOSEVELT,6,ICT,18,1,18,18,18
01M034,PS 034 FRANKLIN D ROOSEVELT,7,ICT,41,2,20.5,19,22
01M034,PS 034 FRANKLIN D ROOSEVELT,8,Gen Ed,22,1,22,22,22
01M034,PS 034 FRANKLIN D ROOSEVELT,8,ICT,36,2,18,18,18
01M063,THE STAR ACADEMY - PS63,K,Gen Ed,19,1,19,19,19
01M063,THE STAR ACADEMY - PS63,K,ICT,21,1,21,21,21
01M063,THE STAR ACADEMY - PS63,1,ICT,20,1,20,20,20
01M063,THE STAR ACADEMY - PS63,2,ICT,26,1,26,26,26
01M063,THE STAR ACADEMY - PS63,3,ICT,22,1,22,22,22
01M063,THE STAR ACADEMY - PS63,4,ICT,23,1,23,23,23
01M063,THE STAR ACADEMY - PS63,5,ICT,27,1,27,27,27
01M064,PS 064 ROBERT SIMON,K,Gen Ed,12,1,12,12,12
01M064,PS 064 ROBERT SIMON,K,ICT,15,1,15,15,15
01M064,PS 064 ROBERT SIMON,1,Gen Ed,19,1,19,19,19
01M064,PS 064 ROBERT SIMON,1,ICT,25,1,25,25,25
01M064,PS 064 ROBERT SIMON,2,Gen Ed,16,1,16,16,16
01M064,PS 064 ROBERT SIMON,2,ICT,21,1,21,21,21
01M064,PS 064 ROBERT SIMON,3,ICT,30,1,30,30,30
01M064,PS 064 ROBERT SIMON,4,ICT,35,1,35,35,35
01M064,PS 064 ROBERT SIMON,5,ICT,35,1,35,35,35
01M110,PS 110 FLORENCE NIGHTINGALE,K,Gen Ed,22,1,22,22,22
01M110,PS 110 FLORENCE NIGHTINGALE,K,G&T,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,K,ICT,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,1,G&T,26,1,26,26,26
01M110,PS 110 FLORENCE NIGHTINGALE,1,ICT,27,1,27,27,27
01M110,PS 110 FLORENCE NIGHTINGALE,2,G&T,30,1,30,30,30
01M110,PS 110 FLORENCE NIGHTINGALE,2,ICT,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,3,G&T,28,1,28,28,28
01M110,PS 110 FLORENCE NIGHTINGALE,3,ICT,16,1,16,16,16
01M110,PS 110 FLORENCE NIGHTINGALE,4,G&T,28,1,28,28,28
01M110,PS 110 FLORENCE NIGHTINGALE,4,ICT & G&T,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,5,Gen Ed,24,1,24,24,24
01M110,PS 110 FLORENCE NIGHTINGALE,5,G&T,21,1,21,21,21
01M110,PS 110 FLORENCE NIGHTINGALE,5,ICT,24,1,24,24,24
01M134,PS 134 HENRIETTA SZOLD,K,Gen Ed,18,1,18,18,18
01M134,PS 134 HENRIETTA SZOLD,K,ICT,18,1,18,18,18
01M134,PS 134 HENRIETTA SZOLD,1,Gen Ed,11,1,11,11,11
01M134,PS 134 HENRIETTA SZOLD,1,ICT,13,1,13,13,13
01M134,PS 134 HENRIETTA SZOLD,2,Gen Ed,21,1,21,21,21
01M134,PS 134 HENRIETTA SZOLD,2,ICT,18,1,18,18,18
01M134,PS 134 HENRIETTA SZOLD,3,Gen Ed,21,1,21,21,21
01M134,PS 134 HENRIETTA SZOLD,3,ICT,23,1,23,23,23
01M134,PS 134 HENRIETTA SZOLD,4,ICT,46,2,23,22,24
01M134,PS 134 HENRIETTA SZOLD,5,ICT,52,2,26,26,26
01M140,PS 140 NATHAN STRAUS,K,Gen Ed,13,1,13,13,13
01M140,PS 140 NATHAN STRAUS,K,ICT,12,1,12,12,12
01M140,PS 140 NATHAN STRAUS,1,Gen Ed,25,1,25,25,25
01M140,PS 140 NATHAN STRAUS,2,Gen Ed,23,1,23,23,23
01M140,PS 140 NATHAN STRAUS,3,Gen Ed,18,1,18,18,18
01M140,PS 140 NATHAN STRAUS,4,Gen Ed,25,1,25,25,25
01M140,PS 140 NATHAN STRAUS,5,Gen Ed,22,1,22,22,22
01M140,PS 140 NATHAN STRAUS,6,Gen Ed,25,1,25,25,25
01M140,PS 140 NATHAN STRAUS,6,ICT,27,1,27,27,27
01M140,PS 140 NATHAN STRAUS,7,Gen Ed,28,1,28,28,28
01M140,PS 140 NATHAN STRAUS,7,ICT,27,1,27,27,27
01M140,PS 140 NATHAN STRAUS,8,Gen Ed,30,1,30,30,30
01M140,PS 140 NATHAN STRAUS,8,ICT,30,1,30,30,30
01M142,PS 142 AMALIA CASTRO,K,Gen Ed,21,1,21,21,21
01M142,PS 142 AMALIA CASTRO,K,ICT,43,2,21.5,21,22
01M142,PS 142 AMALIA CASTRO,1,Gen Ed,23,1,23,23,23
01M142,PS 142 AMALIA CASTRO,1,ICT,23,1,23,23,23
01M142,PS 142 AMALIA CASTRO,2,Gen Ed,21,1,21,21,21
01M142,PS 142 AMALIA CASTRO,2,ICT,23,1,23,23,23
01M142,PS 142 AMALIA CASTRO,3,ICT,41,2,20.5,20,21
01M142,PS 142 AMALIA CASTRO,4,ICT,43,2,21.5,20,23
01M142,PS 142 AMALIA CASTRO,5,Gen Ed,17,1,17,17,17
01M142,PS 142 AMALIA CASTRO,5,ICT,18,1,18,18,18
01M184,PS 184M SHUANG WEN,K,Gen Ed,48,2,24,24,24
01M184,PS 184M SHUANG WEN,K,ICT,24,1,24,24,24
01M184,PS 184M SHUANG WEN,1,Gen Ed,46,2,23,22,24
01M184,PS 184M SHUANG WEN,1,ICT,23,1,23,23,23
01M184,PS 184M SHUANG WEN,2,ICT,54,2,27,26,28
01M184,PS 184M SHUANG WEN,3,Gen Ed,49,2,24.5,24,25
01M184,PS 184M SHUANG WEN,3,ICT,22,1,22,22,22
01M184,PS 184M SHUANG WEN,4,Gen Ed,39,2,19.5,19,20
01M184,PS 184M SHUANG WEN,4,ICT,26,1,26,26,26
01M184,PS 184M SHUANG WEN,5,Gen Ed,27,1,27,27,27
01M184,PS 184M SHUANG WEN,5,ICT,26,1,26,26,26
01M184,PS 184M SHUANG WEN,6,Gen Ed,48,2,24,22,26
01M184,PS 184M SHUANG WEN,6,ICT,46,2,23,22,24
01M184,PS 184M SHUANG WEN,7,Gen Ed,27,1,27,27,27
01M184,PS 184M SHUANG WEN,7,ICT,56,2,28,27,29
01M184,PS 184M SHUANG WEN,8,Gen Ed,29,1,29,29,29
01M184,PS 184M SHUANG WEN,8,ICT,58,2,29,29,29
01M188,PS 188 THE ISLAND SCHOOL,K,Gen Ed,16,1,16,16,16
01M188,PS 188 THE ISLAND SCHOOL,K,ICT,21,1,21,21,21
01M188,PS 188 THE ISLAND SCHOOL,1,Gen Ed,19,1,19,19,19
01M188,PS 188 THE ISLAND SCHOOL,1,ICT,21,1,21,21,21
01M188,PS 188 THE ISLAND SCHOOL,2,Gen Ed,21,1,21,21,21
01M188,PS 188 THE ISLAND SCHOOL,2,ICT,22,1,22,22,22
01M188,PS 188 THE ISLAND SCHOOL,3,Gen Ed,19,1,19,19,19
01M188,PS 188 THE ISLAND SCHOOL,3,ICT,24,1,24,24,24
01M188,PS 188 THE ISLAND SCHOOL,4,Gen Ed,23,1,23,23,23
01M188,PS 188 THE ISLAND SCHOOL,4,ICT,20,1,20,20,20
01M188,PS 188 THE ISLAND SCHOOL,5,Gen Ed,20,1,20,20,20
01M188,PS 188 THE ISLAND SCHOOL,5,ICT,19,1,19,19,19
01M188,PS 188 THE ISLAND SCHOOL,6,Gen Ed,21,1,21,21,21
01M188,PS 188 THE ISLAND SCHOOL,6,ICT,23,1,23,23,23
01M188,PS 188 THE ISLAND SCHOOL,7,Gen Ed,27,1,27,27,27
01M188,PS 188 THE ISLAND SCHOOL,7,ICT,20,1,20,20,20
01M188,PS 188 THE ISLAND SCHOOL,8,Gen Ed,27,1,27,27,27
01M188,PS 188 THE ISLAND SCHOOL,8,ICT,27,1,27,27,27
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,ICT,32,2,16,15,17
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",7,ICT,24,1,24,24,24
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",8,ICT,51,2,25.5,25,26
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,K,Gen Ed,20,1,20,20,20
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,K,ICT,25,1,25,25,25
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,1,Gen Ed,24,1,24,24,24
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,1,ICT,25,1,25,25,25
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,2,Gen Ed,24,1,24,24,24
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,2,ICT,26,1,26,26,26
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3,ICT,48,2,24,23,25
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,4,Gen Ed,21,1,21,21,21
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,4,ICT,19,1,19,19,19
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,5,ICT,47,2,23.5,23,24
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,ICT,62,3,20.7,17,27
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,ICT,59,2,29.5,29,30
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,ICT,61,2,30.5,29,32
01M361,THE CHILDREN'S WORKSHOP SCHOOL,K,Gen Ed,38,2,19,17,21
01M361,THE CHILDREN'S WORKSHOP SCHOOL,K,ICT,19,1,19,19,19
01M361,THE CHILDREN'S WORKSHOP SCHOOL,3,ICT,47,2,23.5,22,25
01M361,THE CHILDREN'S WORKSHOP SCHOOL,4,ICT,35,2,17.5,17,18
01M361,THE CHILDREN'S WORKSHOP SCHOOL,5,ICT,32,1,32,32,32
01M363,NEIGHBORHOOD SCHOOL,K,Gen Ed,37,3,12.3,9,19
01M363,NEIGHBORHOOD SCHOOL,K,ICT,19,1,19,19,19
01M363,NEIGHBORHOOD SCHOOL,3,Gen Ed,25,1,25,25,25
01M363,NEIGHBORHOOD SCHOOL,3,ICT,26,1,26,26,26
01M364,EARTH SCHOOL,K,Gen Ed,42,2,21,21,21
01M364,EARTH SCHOOL,K,ICT,20,1,20,20,20
01M364,EARTH SCHOOL,3,ICT,55,2,27.5,27,28
01M378,SCHOOL FOR GLOBAL LEADERS,6,Gen Ed,29,2,14.5,10,19
01M378,SCHOOL FOR GLOBAL LEADERS,6,ICT,30,2,15,13,17
01M378,SCHOOL FOR GLOBAL LEADERS,7,Gen Ed,36,2,18,15,21
01M378,SCHOOL FOR GLOBAL LEADERS,7,ICT,39,2,19.5,18,21
01M378,SCHOOL FOR GLOBAL LEADERS,8,Gen Ed,23,1,23,23,23
01M378,SCHOOL FOR GLOBAL LEADERS,8,ICT,62,3,20.7,19,22
01M450,EAST SIDE COMMUNITY SCHOOL,6,ICT,86,7,12.3,12,13
01M450,EAST SIDE COMMUNITY SCHOOL,7,ICT,70,7,10,8,12
01M450,EAST SIDE COMMUNITY SCHOOL,8,ICT,87,7,12.4,9,15
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",K,G&T,100,4,25,25,25
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,ICT & G&T,116,4,29,29,29
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2,G&T,60,2,30,29,31
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2,ICT,30,1,30,30,30
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2,ICT & G&T,59,2,29.5,28,31
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",3,ICT & G&T,122,4,30.5,29,31
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",4,ICT & G&T,116,4,29,27,30
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",5,ICT & G&T,112,4,28,27,29
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",6,ICT,152,5,30.4,30,31
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",7,ICT,149,5,29.8,29,30
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",8,ICT,136,5,27.2,25,29
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,6,Gen Ed,30,1,30,30,30
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,6,ICT,95,3,31.7,31,32
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,7,Gen Ed,31,1,31,31,31
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,7,ICT,93,3,31,30,32
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,8,Gen Ed,32,1,32,32,32
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,8,ICT,94,3,31.3,30,33
02M001,PS 001 ALFRED E SMITH,K,Gen Ed,28,2,14,14,14
02M001,PS 001 ALFRED E SMITH,K,ICT,17,1,17,17,17
02M001,PS 001 ALFRED E SMITH,1,Gen Ed,48,3,16,15,17
02M001,PS 001 ALFRED E SMITH,2,Gen Ed,21,1,21,21,21
02M001,PS 001 ALFRED E SMITH,2,ICT,19,1,19,19,19
02M001,PS 001 ALFRED E SMITH,3,Gen Ed,20,1,20,20,20
02M001,PS 001 ALFRED E SMITH,3,ICT,27,1,27,27,27
02M001,PS 001 ALFRED E SMITH,4,Gen Ed,26,1,26,26,26
02M001,PS 001 ALFRED E SMITH,4,ICT,29,1,29,29,29
02M001,PS 001 ALFRED E SMITH,5,Gen Ed,33,2,16.5,16,17
02M001,PS 001 ALFRED E SMITH,5,ICT,18,1,18,18,18
02M002,PS 002 MEYER LONDON,K,Gen Ed,42,2,21,21,21
02M002,PS 002 MEYER LONDON,K,ICT,43,2,21.5,21,22
02M002,PS 002 MEYER LONDON,1,Gen Ed,37,2,18.5,18,19
02M002,PS 002 MEYER LONDON,1,ICT,21,1,21,21,21
02M002,PS 002 MEYER LONDON,2,Gen Ed,46,2,23,23,23
02M002,PS 002 MEYER LONDON,2,ICT,25,1,25,25,25
02M002,PS 002 MEYER LONDON,3,Gen Ed,49,2,24.5,23,26
02M002,PS 002 MEYER LONDON,3,ICT,26,1,26,26,26
02M002,PS 002 MEYER LONDON,4,Gen Ed,67,3,22.3,21,24
02M002,PS 002 MEYER LONDON,4,ICT,21,1,21,21,21
02M002,PS 002 MEYER LONDON,5,Gen Ed,67,3,22.3,21,23
02M002,PS 002 MEYER LONDON,5,ICT,50,2,25,24,26
02M003,PS 003 CHARRETTE SCHOOL,K,Gen Ed,127,5,25.4,25,26
02M003,PS 003 CHARRETTE SCHOOL,1,Gen Ed,78,3,26,26,26
02M003,PS 003 CHARRETTE SCHOOL,1,ICT,56,2,28,28,28
02M003,PS 003 CHARRETTE SCHOOL,4,Gen Ed,33,1,33,33,33
02M003,PS 003 CHARRETTE SCHOOL,4,ICT,66,2,33,33,33
02M003,PS 003 CHARRETTE SCHOOL,5,Gen Ed,65,2,32.5,32,33
02M003,PS 003 CHARRETTE SCHOOL,5,ICT,30,1,30,30,30
02M006,PS 006 LILLIE D BLAKE,K,Gen Ed,75,3,25,25,25
02M006,PS 006 LILLIE D BLAKE,K,ICT,24,1,24,24,24
02M006,PS 006 LILLIE D BLAKE,1,Gen Ed,104,4,26,26,26
02M006,PS 006 LILLIE D BLAKE,2,Gen Ed,62,2,31,31,31
02M006,PS 006 LILLIE D BLAKE,2,ICT,30,1,30,30,30
02M006,PS 006 LILLIE D BLAKE,3,Gen Ed,65,2,32.5,32,33
02M006,PS 006 LILLIE D BLAKE,3,ICT,32,1,32,32,32
02M006,PS 006 LILLIE D BLAKE,4,Gen Ed,79,3,26.3,26,27
02M006,PS 006 LILLIE D BLAKE,4,ICT,27,1,27,27,27
02M006,PS 006 LILLIE D BLAKE,5,Gen Ed,87,3,29,28,30
02M006,PS 006 LILLIE D BLAKE,5,ICT,28,1,28,28,28
02M011,PS 011 WILLIAM T HARRIS,K,Gen Ed,69,3,23,23,23
02M011,PS 011 WILLIAM T HARRIS,K,G&T,48,2,24,23,25
02M011,PS 011 WILLIAM T HARRIS,K,ICT,23,1,23,23,23
02M011,PS 011 WILLIAM T HARRIS,1,Gen Ed,67,3,22.3,22,23
02M011,PS 011 WILLIAM T HARRIS,1,G&T,64,2,32,32,32
02M011,PS 011 WILLIAM T HARRIS,1,ICT,24,1,24,24,24
02M011,PS 011 WILLIAM T HARRIS,2,Gen Ed,59,3,19.7,18,22
02M011,PS 011 WILLIAM T HARRIS,2,G&T,64,2,32,32,32
02M011,PS 011 WILLIAM T HARRIS,2,ICT,23,1,23,23,23
02M011,PS 011 WILLIAM T HARRIS,3,Gen Ed,42,2,21,21,21
02M011,PS 011 WILLIAM T HARRIS,3,G&T,64,2,32,32,32
02M011,PS 011 WILLIAM T HARRIS,3,ICT,25,1,25,25,25
02M011,PS 011 WILLIAM T HARRIS,4,Gen Ed,68,3,22.7,22,24
02M011,PS 011 WILLIAM T HARRIS,4,G&T,56,2,28,28,28
02M011,PS 011 WILLIAM T HARRIS,4,ICT,26,1,26,26,26
02M011,PS 011 WILLIAM T HARRIS,5,Gen Ed,93,3,31,30,32
02M011,PS 011 WILLIAM T HARRIS,5,G&T,60,2,30,29,31
02M011,PS 011 WILLIAM T HARRIS,5,ICT,30,1,30,30,30
02M033,PS 033 CHELSEA PREP,K,Gen Ed,48,2,24,24,24
02M033,PS 033 CHELSEA PREP,K,G&T,48,2,24,23,25
02M033,PS 033 CHELSEA PREP,1,Gen Ed,20,1,20,20,20
02M033,PS 033 CHELSEA PREP,1,G&T,53,2,26.5,26,27
02M033,PS 033 CHELSEA PREP,1,ICT,19,1,19,19,19
02M033,PS 033 CHELSEA PREP,2,G&T,55,2,27.5,27,28
02M033,PS 033 CHELSEA PREP,2,ICT,36,2,18,17,19
02M033,PS 033 CHELSEA PREP,3,G&T,54,2,27,26,28
02M033,PS 033 CHELSEA PREP,3,ICT,62,2,31,31,31
02M033,PS 033 CHELSEA PREP,4,Gen Ed,28,1,28,28,28
02M033,PS 033 CHELSEA PREP,4,G&T,26,1,26,26,26
02M033,PS 033 CHELSEA PREP,4,ICT & G&T,25,1,25,25,25
02M033,PS 033 CHELSEA PREP,5,G&T,54,2,27,27,27
02M033,PS 033 CHELSEA PREP,5,ICT,31,1,31,31,31
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,K,Gen Ed,102,4,25.5,25,26
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,K,ICT,25,1,25,25,25
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,1,Gen Ed,100,4,25,25,25
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,1,ICT,26,1,26,26,26
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,2,Gen Ed,64,2,32,32,32
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,2,ICT,32,1,32,32,32
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,3,Gen Ed,64,2,32,32,32
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,3,ICT,31,1,31,31,31
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,4,Gen Ed,65,2,32.5,32,33
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,4,ICT,33,1,33,33,33
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,5,Gen Ed,64,2,32,32,32
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,5,ICT,32,1,32,32,32
02M041,PS 041 GREENWICH VILLAGE,K,Gen Ed,95,4,23.8,23,24
02M041,PS 041 GREENWICH VILLAGE,K,ICT,24,1,24,24,24
02M041,PS 041 GREENWICH VILLAGE,1,Gen Ed,75,3,25,25,25
02M041,PS 041 GREENWICH VILLAGE,1,ICT,25,1,25,25,25
02M041,PS 041 GREENWICH VILLAGE,2,Gen Ed,90,3,30,29,31
02M041,PS 041 GREENWICH VILLAGE,2,ICT,29,1,29,29,29
02M041,PS 041 GREENWICH VILLAGE,3,Gen Ed,58,2,29,28,30
02M041,PS 041 GREENWICH VILLAGE,3,ICT,32,1,32,32,32
02M041,PS 041 GREENWICH VILLAGE,4,Gen Ed,92,3,30.7,30,31
02M041,PS 041 GREENWICH VILLAGE,4,ICT,31,1,31,31,31
02M041,PS 041 GREENWICH VILLAGE,5,Gen Ed,77,3,25.7,25,27
02M041,PS 041 GREENWICH VILLAGE,5,ICT,30,1,30,30,30
02M042,PS 042 BENJAMIN ALTMAN,K,Gen Ed,66,3,22,19,25
02M042,PS 042 BENJAMIN ALTMAN,K,ICT,46,2,23,21,25
02M042,PS 042 BENJAMIN ALTMAN,1,Gen Ed,51,2,25.5,25,26
02M042,PS 042 BENJAMIN ALTMAN,1,ICT,48,2,24,24,24
02M042,PS 042 BENJAMIN ALTMAN,2,Gen Ed,48,2,24,22,26
02M042,PS 042 BENJAMIN ALTMAN,2,ICT,47,2,23.5,20,27
02M042,PS 042 BENJAMIN ALTMAN,3,Gen Ed,44,2,22,21,23
02M042,PS 042 BENJAMIN ALTMAN,3,ICT,46,2,23,21,25
02M042,PS 042 BENJAMIN ALTMAN,4,Gen Ed,51,2,25.5,25,26
02M042,PS 042 BENJAMIN ALTMAN,4,ICT,28,1,28,28,28
02M042,PS 042 BENJAMIN ALTMAN,5,Gen Ed,91,3,30.3,29,32
02M042,PS 042 BENJAMIN ALTMAN,5,ICT,29,1,29,29,29
02M051,PS 051 ELIAS HOWE,K,Gen Ed,43,2,21.5,21,22
02M051,PS 051 ELIAS HOWE,K,ICT,22,1,22,22,22
02M051,PS 051 ELIAS HOWE,1,Gen Ed,48,2,24,24,24
02M051,PS 051 ELIAS HOWE,1,ICT,23,1,23,23,23
02M051,PS 051 ELIAS HOWE,2,Gen Ed,31,1,31,31,31
02M051,PS 051 ELIAS HOWE,2,ICT,30,1,30,30,30
02M051,PS 051 ELIAS HOWE,3,Gen Ed,30,1,30,30,30
02M051,PS 051 ELIAS HOWE,3,ICT,28,1,28,28,28
02M051,PS 051 ELIAS HOWE,4,Gen Ed,32,1,32,32,32
02M051,PS 051 ELIAS HOWE,4,ICT,32,1,32,32,32
02M051,PS 051 ELIAS HOWE,5,Gen Ed,31,1,31,31,31
02M051,PS 051 ELIAS HOWE,5,ICT,30,1,30,30,30
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,K,Gen Ed,93,4,23.3,22,25
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,K,ICT,24,1,24,24,24
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,1,Gen Ed,77,3,25.7,25,26
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,1,ICT,27,1,27,27,27
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,2,Gen Ed,84,3,28,28,28
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,2,ICT,27,1,27,27,27
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,3,Gen Ed,76,3,25.3,24,27
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,3,ICT,25,1,25,25,25
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,4,Gen Ed,26,1,26,26,26
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,4,ICT,24,1,24,24,24
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,5,Gen Ed,55,2,27.5,27,28
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,5,ICT,27,1,27,27,27
02M077,PS 77 LOWER LAB SCHOOL,K,G&T,50,2,25,25,25
02M077,PS 77 LOWER LAB SCHOOL,1,G&T,60,2,30,30,30
02M077,PS 77 LOWER LAB SCHOOL,2,G&T,64,2,32,32,32
02M077,PS 77 LOWER LAB SCHOOL,3,G&T,64,2,32,32,32
02M077,PS 77 LOWER LAB SCHOOL,4,G&T,63,2,31.5,31,32
02M077,PS 77 LOWER LAB SCHOOL,5,G&T,57,2,28.5,28,29
02M089,PS 89,K,Gen Ed,72,3,24,24,24
