DBN,Community School District,School Name,School Pupil-Teacher Ratio
02M393,CSD 02,BUSINESS OF SPORTS SCHOOL,11.8
02M394,CSD 02,EMMA LAZARUS HIGH SCHOOL,16.3
02M397,CSD 02,SPRUCE STREET SCHOOL,14.3
02M399,CSD 02,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,17
02M400,CSD 02,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,15.3
02M407,CSD 02,INSTITUTE FOR COLLABORATIVE EDUCATION,17.7
02M408,CSD 02,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,18.8
02M411,CSD 02,BARUCH COLLEGE CAMPUS HIGH SCHOOL,18
02M412,CSD 02,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,11.7
02M413,CSD 02,SCHOOL OF THE FUTURE HIGH SCHOOL,14.9
02M414,CSD 02,NYC MUSEUM SCHOOL,16.2
02M416,CSD 02,ELEANOR ROOSEVELT HIGH SCHOOL,16.1
02M418,CSD 02,MILLENNIUM HIGH SCHOOL,17.5
02M419,CSD 02,LANDMARK HIGH SCHOOL,12.9
02M420,CSD 02,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,19
02M422,CSD 02,QUEST TO LEARN,11.5
02M425,CSD 02,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,15.4
02M427,CSD 02,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,11.7
02M432,CSD 02,MURRAY HILL ACADEMY,12
02M437,CSD 02,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,14.4
02M438,CSD 02,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,13.2
02M439,CSD 02,MANHATTAN VILLAGE ACADEMY,15.5
02M442,CSD 02,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",13.7
02M449,CSD 02,VANGUARD HIGH SCHOOL,12.1
02M459,CSD 02,MANHATTAN INTERNATIONAL HIGH SCHOOL,14.1
02M475,CSD 02,STUYVESANT HIGH SCHOOL,20.7
02M489,CSD 02,HIGH SCHOOL OF ECONOMICS AND FINANCE,17.6
02M500,CSD 02,UNITY CENTER FOR URBAN TECHNOLOGIES,16.7
02M507,CSD 02,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,12.8
02M519,CSD 02,TALENT UNLIMITED HIGH SCHOOL,15.2
02M520,CSD 02,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,10.6
02M527,CSD 02,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,14.5
02M529,CSD 02,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,12.4
02M531,CSD 02,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,14.9
02M533,CSD 02,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,13.7
