DBN,Community School District,School Name,School Pupil-Teacher Ratio
08X537,CSD 08,BRONX ARENA HIGH SCHOOL,9.7
08X558,CSD 08,WESTCHESTER SQUARE ACADEMY,12.4
08X559,CSD 08,SCHOOL FOR TOURISM AND HOSPITALITY,10.8
08X561,CSD 08,BRONX COMPASS HIGH SCHOOL,11.3
08X562,CSD 08,BLUEPRINT MIDDLE SCHOOL,13.1
08X583,CSD 08,PS 583,15.5
09X004,CSD 09,PS/MS 004 CROTONA PARK WEST,12
09X011,CSD 09,PS 011 HIGHBRIDGE,12.3
09X022,CSD 09,JHS 022 JORDAN L MOTT,8.4
09X028,CSD 09,PS 028 MOUNT HOPE,10.9
09X035,CSD 09,PS 035 FRANZ SIEGEL,11.2
09X042,CSD 09,PS 042 CLAREMONT,10.1
09X053,CSD 09,PS 053 BASHEER QUISIM,12.4
09X055,CSD 09,PS 055 BENJAMIN FRANKLIN,11.7
09X058,CSD 09,PS 058,12
09X063,CSD 09,PS 063 AUTHOR'S ACADEMY,11.7
09X070,CSD 09,PS 070 MAX SCHOENFELD,13.1
09X073,CSD 09,PS 073 BRONX,12.3
09X088,CSD 09,PS X088 - S SILVERSTEIN LITTLE SPARROW SCHOOL,13.3
09X109,CSD 09,PS 109 SEDGWICK,12.2
09X110,CSD 09,PS 110 THEODORE SCHOENFELD,13.8
09X114,CSD 09,PS X114 - LUIS LLORENS TORRES SCHOOLS,13.5
09X117,CSD 09,IS 117 JOSEPH H WADE,10.2
09X126,CSD 09,PS 126 DR MARJORIE H DUNBAR,12.2
09X128,CSD 09,MOTT HALL III,18
09X132,CSD 09,PS 132 GARRET A MORGAN,11.8
09X163,CSD 09,PS 163 ARTHUR A SCHOMBURG,11.2
09X170,CSD 09,PS 170,11.2
09X199,CSD 09,PS 199X - THE SHAKESPEARE SCHOOL,14.2
09X204,CSD 09,PS 204 MORRIS HEIGHTS,15.5
09X215,CSD 09,KAPPA,11.9
09X218,CSD 09,PS/IS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,15.1
09X219,CSD 09,IS 219 NEW VENTURE SCHOOL,10.1
09X227,CSD 09,BRONX COLLEGIATE ACADEMY,13.3
09X229,CSD 09,IS 229 ROLAND PATTERSON,8.5
09X231,CSD 09,EAGLE ACADEMY FOR YOUNG MEN,14.7
09X232,CSD 09,IS 232,13.5
09X236,CSD 09,PS 236 LANGSTON HUGHES,11.5
09X241,CSD 09,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",10.4
09X250,CSD 09,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,13.8
09X252,CSD 09,MOTT HALL BRONX HIGH SCHOOL,12.8
09X260,CSD 09,BRONX CENTER FOR SCIENCE AND MATHEMATICS,14.5
09X263,CSD 09,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,15.3
09X274,CSD 09,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,9.3
09X294,CSD 09,THE WALTON AVENUE SCHOOL,12.9
09X297,CSD 09,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,10.8
09X303,CSD 09,IS X303 LEADERSHIP & COMMUNITY SERVICE,9
09X311,CSD 09,LUCERO ELEMENTARY SCHOOL,12.9
09X313,CSD 09,IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT,7.9
09X323,CSD 09,BRONX WRITING ACADEMY,9.9
09X324,CSD 09,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,13.5
09X327,CSD 09,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,13.9
09X328,CSD 09,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,12.9
09X329,CSD 09,DREAMYARD PREPARATORY SCHOOL,10.8
09X339,CSD 09,IS 339,7.6
09X350,CSD 09,NEW DIRECTIONS SECONDARY SCHOOL,8.9
09X361,CSD 09,THE HIGHBRIDGE GREEN SCHOOL,10.6
09X365,CSD 09,ACADEMY FOR LANGUAGE AND TECHNOLOGY,12.8
09X403,CSD 09,BRONX INTERNATIONAL HIGH SCHOOL,12.6
09X404,CSD 09,SCHOOL FOR EXCELLENCE,11.8
09X412,CSD 09,BRONX HIGH SCHOOL OF BUSINESS,9.6
09X413,CSD 09,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,12.4
09X443,CSD 09,THE FAMILY SCHOOL,12.6
09X449,CSD 09,GRANT AVENUE ELEMENTARY SCHOOL,12.4
09X454,CSD 09,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,11.9
09X457,CSD 09,SHERIDAN ACADEMY FOR YOUNG LEADERS,16.5
09X505,CSD 09,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",12.4
09X517,CSD 09,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,12.3
09X525,CSD 09,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,13
09X543,CSD 09,HIGH SCHOOL FOR VIOLIN AND DANCE,14.7
09X555,CSD 09,MOUNT EDEN CHILDREN'S ACADEMY,16.5
09X564,CSD 09,CLAREMONT INTERNATIONAL HS,12.6
09X568,CSD 09,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,13.9
09X593,CSD 09,SOUTH BRONX INTERNATIONAL MS,8
09X594,CSD 09,MS 594,8.9
10X003,CSD 10,PS 3 RAUL JULIA MICRO SOCIETY,13.5
10X007,CSD 10,MILTON FEIN SCHOOL,16.2
10X008,CSD 10,PS 008 ISSAC VARIAN,13.2
10X009,CSD 10,PS 9 RYER AVENUE ELEMENTARY SCHOOL,13.6
10X015,CSD 10,PS X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,15.8
10X020,CSD 10,"PS/MS 20 POGEORGE J WERDANN, III",13.4
10X023,CSD 10,PS 023 THE NEW CHILDREN'S SCHOOL,13
10X024,CSD 10,PS 024 SPUYTEN DUYVIL,16
10X032,CSD 10,PS 032 BELMONT,12
10X033,CSD 10,PS 033 TIMOTHY DWIGHT,14.4
10X037,CSD 10,PS X037 - MULTIPLE INTELLIGENCE SCHOOL,14.4
10X045,CSD 10,THOMAS C GIORDANO MIDDLE SCHOOL 45,14.1
10X046,CSD 10,PS 046 EDGAR ALLAN POE,13.3
10X051,CSD 10,PS 051 BRONX NEW SCHOOL,14.7
10X054,CSD 10,PS / IS 54,13.8
10X056,CSD 10,PS 056 NORWOOD HEIGHTS,14.5
10X059,CSD 10,PS 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,11.1
10X077,CSD 10,BEDFORD PARK ELEMENTARY SCHOOL,14.8
10X080,CSD 10,JHS 080 THE MOSHOLU PARKWAY,14.2
10X081,CSD 10,PS 081 ROBERT J CHRISTEN,15.2
10X085,CSD 10,PS 085 GREAT EXPECTATIONS,12.7
10X086,CSD 10,PS 086 KINGSBRIDGE HEIGHTS,14.1
10X091,CSD 10,PS 091 BRONX,11.8
10X094,CSD 10,PS 094 KINGS COLLEGE SCHOOL,12.5
10X095,CSD 10,PS 095 SHEILA MENCHER,14.6
10X118,CSD 10,JHS 118 WILLIAM W NILES,12.2
10X141,CSD 10,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),14.9
10X159,CSD 10,PS 159 LUIS MUNOZ MARIN BILING,13.9
10X205,CSD 10,PS 205 FIORELLO LAGUARDIA,12.7
10X206,CSD 10,IS 206 ANN MERSEREAU,12.3
10X207,CSD 10,PS 207,12.7
10X209,CSD 10,PS 209,12.3
10X213,CSD 10,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,13.6
10X225,CSD 10,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10.6
10X226,CSD 10,PS 226,13.4
10X228,CSD 10,JONAS BRONCK ACADEMY,13.5
10X237,CSD 10,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",11.9
10X243,CSD 10,WEST BRONX ACADEMY FOR THE FUTURE,12.1
10X244,CSD 10,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,14.7
10X246,CSD 10,PS 246 POE CENTER,11.2
10X254,CSD 10,IS 254,14.2
10X264,CSD 10,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),10.8
10X268,CSD 10,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,15.1
10X279,CSD 10,"PS 279 CAPTAIN MANUEL RIVERA, JR",13.7
10X280,CSD 10,PS/MS 280 MOSHOLU PARKWAY,12.7
10X284,CSD 10,BRONX SCHOOL OF LAW AND FINANCE,13.8
10X291,CSD 10,PS 291,13.4
10X306,CSD 10,PS 306,14.3
10X307,CSD 10,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,11.4
10X308,CSD 10,BRONX DANCE ACADEMY SCHOOL,13.2
10X310,CSD 10,PS 310 MARBLE HILL,12.9
10X315,CSD 10,PS 315 LAB SCHOOL,16.3
10X319,CSD 10,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,15.4
10X331,CSD 10,THE BRONX SCHOOL OF YOUNG LEADERS,12.3
10X340,CSD 10,PS 340,12.8
10X342,CSD 10,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,11.9
10X344,CSD 10,AMPARK NEIGHBORHOOD,15.7
10X351,CSD 10,BRONX COLLABORATIVE HIGH SCHOOL,12.5
10X353,CSD 10,WORLD VIEW HIGH SCHOOL,12
10X360,CSD 10,PS 360,12.1
10X363,CSD 10,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,10
10X368,CSD 10,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),14.6
10X374,CSD 10,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),11.3
10X382,CSD 10,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",14.5
10X386,CSD 10,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,12.5
10X390,CSD 10,MS 390,12.1
10X391,CSD 10,THE ANGELO PATRI MIDDLE SCHOOL,10.5
10X396,CSD 10,PS 396,4.9
10X397,CSD 10,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),13.1
10X433,CSD 10,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,13.1
10X434,CSD 10,BELMONT PREPARATORY HIGH SCHOOL,13.4
10X437,CSD 10,FORDHAM HIGH SCHOOL FOR THE ARTS,9.2
10X438,CSD 10,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,9.9
10X439,CSD 10,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,12.7
10X440,CSD 10,DEWITT CLINTON HIGH SCHOOL,13.2
10X442,CSD 10,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",14.5
10X445,CSD 10,BRONX HIGH SCHOOL OF SCIENCE,21.9
10X447,CSD 10,CRESTON ACADEMY,11.7
10X459,CSD 10,EAST FORDHAM ACADEMY FOR THE ARTS,11.6
10X477,CSD 10,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,14.3
10X524,CSD 10,CROTONA INTERNATIONAL HIGH SCHOOL,12.6
10X546,CSD 10,BRONX THEATRE HIGH SCHOOL,14.7
10X549,CSD 10,DISCOVERY HIGH SCHOOL,17.9
10X565,CSD 10,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,12.2
10X696,CSD 10,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,16.4
11X016,CSD 11,PS 016 WAKEFIELD,13.6
11X019,CSD 11,PS 019 JUDITH K WEISS,16.3
11X021,CSD 11,PS 021 PHILIP H SHERIDAN,14.4
11X041,CSD 11,PS 041 GUN HILL ROAD,14
11X068,CSD 11,PS 068 BRONX,9.1
11X076,CSD 11,PS 076 THE BENNINGTON SCHOOL,12.9
11X078,CSD 11,PS 078 ANNE HUTCHINSON,15
11X083,CSD 11,PS 083 DONALD HERTZ,14.5
11X087,CSD 11,PS 087 BRONX,15.9
11X089,CSD 11,PS 089 BRONX,17.4
11X096,CSD 11,PS 096 RICHARD RODGERS,13
11X097,CSD 11,PS 097 BRONX,12.8
11X103,CSD 11,PS 103 HECTOR FONTANEZ,13.1
11X105,CSD 11,PS 105 SEN ABRAHAM BERNSTEIN,13.3
11X106,CSD 11,PS 106 PARKCHESTER,15.2
11X108,CSD 11,PS 108 PHILIP J ABINANTI,15.2
11X111,CSD 11,PS 111 SETON FALLS,12.6
11X112,CSD 11,PS 112 BRONXWOOD,13.4
11X121,CSD 11,PS 121 THROOP,14.4
11X127,CSD 11,JHS 127 THE CASTLE HILL,13.9
11X144,CSD 11,JHS 144 MICHELANGELO,12.9
11X153,CSD 11,PS 153 HELEN KELLER,15.2
11X160,CSD 11,PS 160 WALT DISNEY,10.4
11X169,CSD 11,BAYCHESTER ACADEMY,16.6
11X175,CSD 11,PS 175 CITY ISLAND,13.4
11X178,CSD 11,PS 178 - DR SELMAN WAKSMAN,11.3
11X180,CSD 11,MS 180 DR DANIEL HALE WILLIAMS,14.5
11X181,CSD 11,IS 181 PABLO CASALS,15.3
11X189,CSD 11,CORNERSTONE ACADEMY FOR SOCIAL ACTION,12.6
11X194,CSD 11,PS/MS 194,14.5
11X249,CSD 11,BRONX HEALTH SCIENCES HIGH SCHOOL,14.4
11X253,CSD 11,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,13.3
11X265,CSD 11,BRONX LAB SCHOOL,11.3
11X270,CSD 11,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,14.2
11X275,CSD 11,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,13.6
11X287,CSD 11,THE FORWARD SCHOOL,12.2
11X288,CSD 11,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,17.9
11X290,CSD 11,BRONX ACADEMY OF HEALTH CAREERS,12.4
11X299,CSD 11,ASTOR COLLEGIATE ACADEMY,15.5
11X326,CSD 11,BRONX GREEN MIDDLE SCHOOL,14.4
11X355,CSD 11,BRONX ALLIANCE MIDDLE SCHOOL,11.5
11X357,CSD 11,YOUNG VOICES ACADEMY OF THE BRONX,15.4
11X370,CSD 11,SCHOOL OF DIPLOMACY,11
11X418,CSD 11,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,14.3
11X455,CSD 11,HARRY S TRUMAN HIGH SCHOOL,17.8
11X462,CSD 11,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),14.1
11X468,CSD 11,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,13.2
11X481,CSD 11,PS 481,13.7
11X483,CSD 11,PS 483,12.5
11X498,CSD 11,PS/MS 11X498 - VAN NEST ACADEMY,15.2
11X508,CSD 11,BRONXDALE HIGH SCHOOL,11.5
11X509,CSD 11,HIGH SCHOOL OF LANGUAGE AND INNOVATION,11.7
11X513,CSD 11,NEW WORLD HIGH SCHOOL,14.2
11X514,CSD 11,THE BRONXWOOD PREPARATORY ACADEMY,13.5
11X529,CSD 11,ONE WORLD MIDDLE SCHOOL AT EDENWALD,9.1
11X532,CSD 11,BAYCHESTER MIDDLE SCHOOL,11
11X542,CSD 11,PELHAM PREPARATORY ACADEMY,17.2
11X544,CSD 11,HIGH SCHOOL FOR CONTEMPORARY ARTS,13.3
11X545,CSD 11,BRONX AEROSPACE HIGH SCHOOL,12.3
11X556,CSD 11,BRONX PARK MIDDLE SCHOOL,10.5
11X566,CSD 11,PELHAM GARDENS MIDDLE SCHOOL,13.2
11X567,CSD 11,LINDEN TREE ELEMENTARY SCHOOL,11.6
12X006,CSD 12,PS 006 WEST FARMS,12.6
12X044,CSD 12,PS 044 DAVID C FARRAGUT,11.3
12X047,CSD 12,PS 047 JOHN RANDOLPH,13.4
12X057,CSD 12,PS 057 CRESCENT,14.9
12X061,CSD 12,PS 061 FRANCISCO OLLER,14.1
12X066,CSD 12,PS 066 SCHOOL OF HIGHER EXPECTATIONS,11
12X067,CSD 12,PS 067 MOHEGAN SCHOOL,12.5
12X098,CSD 12,JHS 098 HERMAN RIDDER,10.7
12X129,CSD 12,MS 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,14.2
12X134,CSD 12,PS 134 GEORGE F BRISTOW,13.2
12X150,CSD 12,PS 150 CHARLES JAMES FOX,13.4
12X190,CSD 12,ESMT- IS 190,13.2
12X195,CSD 12,PS 195,13.6
12X196,CSD 12,PS 196,13
12X211,CSD 12,PS 211,11.6
12X212,CSD 12,PS 212,9
12X214,CSD 12,PS 214,13.6
12X217,CSD 12,SCHOOL OF PERFORMING ARTS,9.7
12X242,CSD 12,MOTT HALL V,10.8
12X248,CSD 12,"METROPOLITAN HIGH SCHOOL, THE",9.6
12X251,CSD 12,EXPLORATIONS ACADEMY,11.7
12X267,CSD 12,BRONX LATIN,12.2
12X271,CSD 12,EAST BRONX ACADEMY FOR THE FUTURE,10.7
12X273,CSD 12,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,13.4
12X286,CSD 12,FANNIE LOU HAMER MIDDLE SCHOOL,10
12X300,CSD 12,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,12.3
12X314,CSD 12,FAIRMONT NEIGHBORHOOD SCHOOL,10.2
12X316,CSD 12,KAPPA III,12.9
12X318,CSD 12,"IS X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",9.8
12X341,CSD 12,ACCION ACADEMY,11.9
12X383,CSD 12,EMOLIOR ACADEMY,15.5
12X388,CSD 12,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,12.3
12X446,CSD 12,ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,13
12X458,CSD 12,SAMARA COMMUNITY SCHOOL,11.6
12X463,CSD 12,URBAN SCHOLARS COMMUNITY SCHOOL,9.4
12X478,CSD 12,THE CINEMA SCHOOL,15.8
12X479,CSD 12,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,11.6
12X480,CSD 12,BRONX REGIONAL HIGH SCHOOL,13.9
12X511,CSD 12,BRONX ENVISION ACADEMY,11.9
12X521,CSD 12,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,11.2
12X531,CSD 12,ARCHER ELEMENTARY SCHOOL,12
12X536,CSD 12,PS 536,14
12X550,CSD 12,HIGH SCHOOL OF WORLD CULTURES,13.4
12X595,CSD 12,PS 595,9.7
12X682,CSD 12,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,13.2
12X684,CSD 12,WINGS ACADEMY,13.5
12X691,CSD 12,BRONX LITTLE SCHOOL,11.8
13K003,CSD 13,PS 003 THE BEDFORD VILLAGE,14.9
13K008,CSD 13,PS 008 ROBERT FULTON,15.3
13K009,CSD 13,PS 009 TEUNIS G BERGEN,17.1
13K011,CSD 13,PS 011 PURVIS J BEHAN,17.1
13K020,CSD 13,PS 020 CLINTON HILL,15
13K044,CSD 13,PS 044 MARCUS GARVEY,12
13K046,CSD 13,PS 046 EDWARD C BLUM,10
13K054,CSD 13,PS 054 SAMUEL C BARNES,9.9
13K056,CSD 13,PS 056 LEWIS H LATIMER,11.2
13K067,CSD 13,PS 067 CHARLES A DORSEY,10.8
13K093,CSD 13,PS 093 WILLIAM H PRESCOTT,11.6
13K113,CSD 13,MS 113 RONALD EDMONDS LEARNING CENTER,10.6
13K133,CSD 13,PS 133 WILLIAM A BUTLER,13.9
13K256,CSD 13,PS 256 BENJAMIN BANNEKER,17.3
13K265,CSD 13,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,9.7
13K266,CSD 13,MS K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,10.3
13K270,CSD 13,PS 270 JOHANN DEKALB,8.2
13K282,CSD 13,PS 282 PARK SLOPE,12.9
13K287,CSD 13,PS 287 BAILEY K ASHFORD,9.5
13K301,CSD 13,SATELLITE EAST MIDDLE SCHOOL,7.5
13K305,CSD 13,PS 305 DR PETER RAY,11.5
13K307,CSD 13,PS 307 DANIEL HALE WILLIAMS,7.6
13K313,CSD 13,SATELLITE WEST MIDDLE SCHOOL,11.9
13K350,CSD 13,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,12.7
13K351,CSD 13,THE URBAN ASSEMBLY UNISON SCHOOL,9.2
13K412,CSD 13,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",12.9
13K419,CSD 13,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",16.5
13K430,CSD 13,BROOKLYN TECHNICAL HIGH SCHOOL,21.8
13K439,CSD 13,BROOKLYN INTERNATIONAL HIGH SCHOOL,14.2
13K483,CSD 13,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,14.9
13K492,CSD 13,ACADEMY OF ARTS AND LETTERS,15.2
13K499,CSD 13,ACORN COMMUNITY HIGH SCHOOL,13.4
13K527,CSD 13,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,13.1
13K553,CSD 13,BROOKLYN ACADEMY HIGH SCHOOL,12.4
13K594,CSD 13,GOTHAM PROFESSIONAL ARTS ACADEMY,12.7
13K595,CSD 13,BEDFORD ACADEMY HIGH SCHOOL,17.1
13K605,CSD 13,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,14.6
13K616,CSD 13,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,12.9
13K670,CSD 13,BENJAMIN BANNEKER ACADEMY,16.9
13K674,CSD 13,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",14.9
13K691,CSD 13,FORT GREENE PREPARATORY ACADEMY,10.8
14K016,CSD 14,PS 016 LEONARD DUNKLY,15.6
14K017,CSD 14,PS 017 HENRY D WOODWORTH,10.4
14K018,CSD 14,PS 018 EDWARD BUSH,10.9
14K023,CSD 14,PS 023 CARTER G WOODSON,11
14K031,CSD 14,PS 031 SAMUEL F DUPONT,16.4
14K034,CSD 14,PS 034 OLIVER H PERRY,15.4
14K050,CSD 14,JHS 050 JOHN D WELLS,12.7
14K059,CSD 14,PS 059 WILLIAM FLOYD,12
14K071,CSD 14,JUAN MOREL CAMPOS SECONDARY SCHOOL,9.1
14K084,CSD 14,PS 084 JOSE DE DIEGO,9
14K110,CSD 14,PS 110 THE MONITOR,16.2
14K120,CSD 14,PS 120 CARLOS TAPIA,13.3
14K126,CSD 14,JOHN ERICSSON MIDDLE SCHOOL 126,10.5
14K132,CSD 14,PS 132 THE CONSELYEA SCHOOL,17.2
14K147,CSD 14,PS 147 ISAAC REMSEN,14
14K157,CSD 14,PS/IS 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,11.5
14K196,CSD 14,PS 196 TEN EYCK,11
14K250,CSD 14,PS 250 GEORGE H LINDSAY,14
14K257,CSD 14,PS 257 JOHN F HYLAN,13.8
14K297,CSD 14,PS 297 ABRAHAM STOCKTON,12.7
14K318,CSD 14,IS 318 EUGENIO MARIA DE HOSTOS,14.6
14K319,CSD 14,PS 319,10.5
14K380,CSD 14,PS 380 JOHN WAYNE ELEMENTARY,11.3
14K414,CSD 14,BROOKLYN ARBOR ELEMENTARY SCHOOL,15.1
14K449,CSD 14,"BROOKLYN LATIN SCHOOL, THE",18.3
14K454,CSD 14,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,12.2
14K474,CSD 14,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,15
14K477,CSD 14,SCHOOL FOR LEGAL STUDIES,12.7
14K478,CSD 14,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",16
14K488,CSD 14,BROOKLYN PREPARATORY HIGH SCHOOL,15.2
14K558,CSD 14,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,16.6
14K561,CSD 14,WILLIAMSBURG PREPARATORY SCHOOL,14.8
14K577,CSD 14,CONSELYEA PREPARATORY SCHOOL,14.1
14K582,CSD 14,MS 582,11.6
14K586,CSD 14,LYONS COMMUNITY SCHOOL,10.9
14K610,CSD 14,AUTOMOTIVE HIGH SCHOOL,8.7
14K614,CSD 14,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,12.1
14K685,CSD 14,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,14.4
15K001,CSD 15,PS 001 THE BERGEN,11.8
15K010,CSD 15,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",14.7
15K015,CSD 15,PS 015 PATRICK F DALY,10.4
15K024,CSD 15,PS 024,11.4
15K029,CSD 15,PS 029 JOHN M HARRIGAN,16.4
15K032,CSD 15,PS 032 SAMUEL MILLS SPROLE,7.4
15K038,CSD 15,PS 038 THE PACIFIC,18.9
15K039,CSD 15,PS 039 HENRY BRISTOW,15.6
15K051,CSD 15,MS 51 WILLIAM ALEXANDER,17.6
15K058,CSD 15,PS 058 THE CARROLL,16.1
15K088,CSD 15,JHS 088 PETER ROUGET,14.8
15K094,CSD 15,PS 094 THE HENRY LONGFELLOW,13.1
15K107,CSD 15,PS 107 JOHN W KIMBALL,15.3
15K118,CSD 15,THE MAURICE SENDAK COMMUNITY SCHOOL,20.4
15K124,CSD 15,PS 124 SILAS B DUTCHER,11.6
15K130,CSD 15,PS 130 THE PARKSIDE,13.9
15K131,CSD 15,PS 131 BROOKLYN,12.4
15K136,CSD 15,IS 136 CHARLES O DEWEY,10.7
15K146,CSD 15,PS 146,13.4
15K154,CSD 15,THE WINDSOR TERRACE SCHOOL,16.1
15K169,CSD 15,PS 169 SUNSET PARK,12.8
15K172,CSD 15,PS 172 BEACON SCHOOL OF EXCELLENCE,11
15K230,CSD 15,PS 230 DORIS L COHEN,13.3
15K261,CSD 15,PS 261 PHILIP LIVINGSTON,14.9
15K295,CSD 15,PS 295,11.2
15K321,CSD 15,PS 321 WILLIAM PENN,16.9
15K418,CSD 15,THE CHILDRENS SCHOOL,12.2
15K423,CSD 15,BROOKLYN FRONTIERS HIGH SCHOOL,7.5
15K429,CSD 15,BROOKLYN SCHOOL FOR GLOBAL STUDIES,11.8
15K442,CSD 15,MS 442 CARROLL GARDENS SCHOOL FOR INNOVATION,8.8
15K443,CSD 15,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,16.5
15K447,CSD 15,THE MATH & SCIENCE EXPLORATORY SCHOOL,11.1
15K448,CSD 15,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,11.4
15K462,CSD 15,SECONDARY SCHOOL FOR LAW,13.2
15K463,CSD 15,SECONDARY SCHOOL FOR JOURNALISM,17.9
15K464,CSD 15,PARK SLOPE COLLEGIATE,12.9
15K497,CSD 15,SCHOOL FOR INTERNATIONAL STUDIES,14.2
15K516,CSD 15,SUNSET PARK AVENUES ELEMENTARY SCHOOL,11.9
15K519,CSD 15,COBBLE HILL SCHOOL OF AMERICAN STUDIES,14.1
15K529,CSD 15,WEST BROOKLYN COMMUNITY HIGH SCHOOL,12.3
15K592,CSD 15,KHALIL GIBRAN INTERNATIONAL ACADEMY,8.7
15K656,CSD 15,BROOKLYN HIGH SCHOOL OF THE ARTS,14.9
15K667,CSD 15,SUNSET PARK HIGH SCHOOL,11.4
15K676,CSD 15,RED HOOK NEIGHBORHOOD SCHOOL,7.7
15K684,CSD 15,MILLENNIUM BROOKLYN HS,11.4
