DBN,School Name,School Pupil-Teacher Ratio
10X009,PS 9 RYER AVENUE ELEMENTARY SCHOOL,13.6
10X015,PS X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,15.8
10X020,"PS/MS 20 POGEORGE J WERDANN, III",13.4
10X023,PS 023 THE NEW CHILDREN'S SCHOOL,13
10X024,PS 024 SPUYTEN DUYVIL,16
10X032,PS 032 BELMONT,12
10X033,PS 033 TIMOTHY DWIGHT,14.4
10X037,PS X037 - MULTIPLE INTELLIGENCE SCHOOL,14.4
10X045,THOMAS C GIORDANO MIDDLE SCHOOL 45,14.1
10X046,PS 046 EDGAR ALLAN POE,13.3
10X051,PS 051 BRONX NEW SCHOOL,14.7
10X054,PS / IS 54,13.8
10X056,PS 056 NORWOOD HEIGHTS,14.5
10X059,PS 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,11.1
10X077,BEDFORD PARK ELEMENTARY SCHOOL,14.8
10X080,JHS 080 THE MOSHOLU PARKWAY,14.2
10X081,PS 081 ROBERT J CHRISTEN,15.2
10X085,PS 085 GREAT EXPECTATIONS,12.7
10X086,PS 086 KINGSBRIDGE HEIGHTS,14.1
10X091,PS 091 BRONX,11.8
10X094,PS 094 KINGS COLLEGE SCHOOL,12.5
10X095,PS 095 SHEILA MENCHER,14.6
10X118,JHS 118 WILLIAM W NILES,12.2
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),14.9
10X159,PS 159 LUIS MUNOZ MARIN BILING,13.9
10X205,PS 205 FIORELLO LAGUARDIA,12.7
10X206,IS 206 ANN MERSEREAU,12.3
10X207,PS 207,12.7
10X209,PS 209,12.3
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,13.6
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10.6
10X226,PS 226,13.4
10X228,JONAS BRONCK ACADEMY,13.5
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",11.9
10X243,WEST BRONX ACADEMY FOR THE FUTURE,12.1
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,14.7
10X246,PS 246 POE CENTER,11.2
10X254,IS 254,14.2
10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),10.8
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,15.1
10X279,"PS 279 CAPTAIN MANUEL RIVERA, JR",13.7
10X280,PS/MS 280 MOSHOLU PARKWAY,12.7
10X284,BRONX SCHOOL OF LAW AND FINANCE,13.8
10X291,PS 291,13.4
10X306,PS 306,14.3
10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,11.4
10X308,BRONX DANCE ACADEMY SCHOOL,13.2
10X310,PS 310 MARBLE HILL,12.9
10X315,PS 315 LAB SCHOOL,16.3
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,15.4
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,12.3
10X340,PS 340,12.8
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,11.9
10X344,AMPARK NEIGHBORHOOD,15.7
10X351,BRONX COLLABORATIVE HIGH SCHOOL,12.5
10X353,WORLD VIEW HIGH SCHOOL,12
10X360,PS 360,12.1
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,10
10X368,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),14.6
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),11.3
10X382,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",14.5
10X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,12.5
10X390,MS 390,12.1
10X391,THE ANGELO PATRI MIDDLE SCHOOL,10.5
10X396,PS 396,4.9
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),13.1
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,13.1
10X434,BELMONT PREPARATORY HIGH SCHOOL,13.4
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,9.2
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,9.9
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,12.7
10X440,DEWITT CLINTON HIGH SCHOOL,13.2
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",14.5
10X445,BRONX HIGH SCHOOL OF SCIENCE,21.9
10X447,CRESTON ACADEMY,11.7
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,11.6
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,14.3
10X524,CROTONA INTERNATIONAL HIGH SCHOOL,12.6
10X546,BRONX THEATRE HIGH SCHOOL,14.7
10X549,DISCOVERY HIGH SCHOOL,17.9
10X565,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,12.2
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,16.4
11X016,PS 016 WAKEFIELD,13.6
11X019,PS 019 JUDITH K WEISS,16.3
11X021,PS 021 PHILIP H SHERIDAN,14.4
11X041,PS 041 GUN HILL ROAD,14
11X068,PS 068 BRONX,9.1
11X076,PS 076 THE BENNINGTON SCHOOL,12.9
11X078,PS 078 ANNE HUTCHINSON,15
11X083,PS 083 DONALD HERTZ,14.5
11X087,PS 087 BRONX,15.9
11X089,PS 089 BRONX,17.4
11X096,PS 096 RICHARD RODGERS,13
11X097,PS 097 BRONX,12.8
11X103,PS 103 HECTOR FONTANEZ,13.1
11X105,PS 105 SEN ABRAHAM BERNSTEIN,13.3
11X106,PS 106 PARKCHESTER,15.2
11X108,PS 108 PHILIP J ABINANTI,15.2
11X111,PS 111 SETON FALLS,12.6
11X112,PS 112 BRONXWOOD,13.4
11X121,PS 121 THROOP,14.4
11X127,JHS 127 THE CASTLE HILL,13.9
11X144,JHS 144 MICHELANGELO,12.9
11X153,PS 153 HELEN KELLER,15.2
11X160,PS 160 WALT DISNEY,10.4
11X169,BAYCHESTER ACADEMY,16.6
11X175,PS 175 CITY ISLAND,13.4
11X178,PS 178 - DR SELMAN WAKSMAN,11.3
11X180,MS 180 DR DANIEL HALE WILLIAMS,14.5
11X181,IS 181 PABLO CASALS,15.3
11X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,12.6
11X194,PS/MS 194,14.5
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,14.4
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,13.3
11X265,BRONX LAB SCHOOL,11.3
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,14.2
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,13.6
11X287,THE FORWARD SCHOOL,12.2
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,17.9
11X290,BRONX ACADEMY OF HEALTH CAREERS,12.4
11X299,ASTOR COLLEGIATE ACADEMY,15.5
11X326,BRONX GREEN MIDDLE SCHOOL,14.4
11X355,BRONX ALLIANCE MIDDLE SCHOOL,11.5
11X357,YOUNG VOICES ACADEMY OF THE BRONX,15.4
11X370,SCHOOL OF DIPLOMACY,11
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,14.3
11X455,HARRY S TRUMAN HIGH SCHOOL,17.8
11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),14.1
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,13.2
11X481,PS 481,13.7
11X483,PS 483,12.5
11X498,PS/MS 11X498 - VAN NEST ACADEMY,15.2
11X508,BRONXDALE HIGH SCHOOL,11.5
11X509,HIGH SCHOOL OF LANGUAGE AND INNOVATION,11.7
11X513,NEW WORLD HIGH SCHOOL,14.2
11X514,THE BRONXWOOD PREPARATORY ACADEMY,13.5
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,9.1
11X532,BAYCHESTER MIDDLE SCHOOL,11
11X542,PELHAM PREPARATORY ACADEMY,17.2
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,13.3
11X545,BRONX AEROSPACE HIGH SCHOOL,12.3
11X556,BRONX PARK MIDDLE SCHOOL,10.5
11X566,PELHAM GARDENS MIDDLE SCHOOL,13.2
11X567,LINDEN TREE ELEMENTARY SCHOOL,11.6
12X006,PS 006 WEST FARMS,12.6
12X044,PS 044 DAVID C FARRAGUT,11.3
12X047,PS 047 JOHN RANDOLPH,13.4
12X057,PS 057 CRESCENT,14.9
12X061,PS 061 FRANCISCO OLLER,14.1
12X066,PS 066 SCHOOL OF HIGHER EXPECTATIONS,11
12X067,PS 067 MOHEGAN SCHOOL,12.5
12X098,JHS 098 HERMAN RIDDER,10.7
12X129,MS 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,14.2
12X134,PS 134 GEORGE F BRISTOW,13.2
12X150,PS 150 CHARLES JAMES FOX,13.4
12X190,ESMT- IS 190,13.2
12X195,PS 195,13.6
12X196,PS 196,13
12X211,PS 211,11.6
12X212,PS 212,9
12X214,PS 214,13.6
12X217,SCHOOL OF PERFORMING ARTS,9.7
12X242,MOTT HALL V,10.8
12X248,"METROPOLITAN HIGH SCHOOL, THE",9.6
12X251,EXPLORATIONS ACADEMY,11.7
12X267,BRONX LATIN,12.2
12X271,EAST BRONX ACADEMY FOR THE FUTURE,10.7
12X273,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,13.4
12X286,FANNIE LOU HAMER MIDDLE SCHOOL,10
12X300,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,12.3
12X314,FAIRMONT NEIGHBORHOOD SCHOOL,10.2
12X316,KAPPA III,12.9
12X318,"IS X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",9.8
12X341,ACCION ACADEMY,11.9
12X383,EMOLIOR ACADEMY,15.5
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,12.3
12X446,ARTURO A SCHOMBURG SATELLITE ACADEMY BRONX,13
12X458,SAMARA COMMUNITY SCHOOL,11.6
12X463,URBAN SCHOLARS COMMUNITY SCHOOL,9.4
12X478,THE CINEMA SCHOOL,15.8
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,11.6
12X480,BRONX REGIONAL HIGH SCHOOL,13.9
12X511,BRONX ENVISION ACADEMY,11.9
12X521,THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,11.2
12X531,ARCHER ELEMENTARY SCHOOL,12
12X536,PS 536,14
12X550,HIGH SCHOOL OF WORLD CULTURES,13.4
12X595,PS 595,9.7
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,13.2
12X684,WINGS ACADEMY,13.5
12X691,BRONX LITTLE SCHOOL,11.8
13K003,PS 003 THE BEDFORD VILLAGE,14.9
13K008,PS 008 ROBERT FULTON,15.3
13K009,PS 009 TEUNIS G BERGEN,17.1
13K011,PS 011 PURVIS J BEHAN,17.1
13K020,PS 020 CLINTON HILL,15
13K044,PS 044 MARCUS GARVEY,12
13K046,PS 046 EDWARD C BLUM,10
13K054,PS 054 SAMUEL C BARNES,9.9
13K056,PS 056 LEWIS H LATIMER,11.2
13K067,PS 067 CHARLES A DORSEY,10.8
13K093,PS 093 WILLIAM H PRESCOTT,11.6
13K113,MS 113 RONALD EDMONDS LEARNING CENTER,10.6
13K133,PS 133 WILLIAM A BUTLER,13.9
13K256,PS 256 BENJAMIN BANNEKER,17.3
13K265,DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,9.7
13K266,MS K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,10.3
13K270,PS 270 JOHANN DEKALB,8.2
13K282,PS 282 PARK SLOPE,12.9
13K287,PS 287 BAILEY K ASHFORD,9.5
13K301,SATELLITE EAST MIDDLE SCHOOL,7.5
13K305,PS 305 DR PETER RAY,11.5
13K307,PS 307 DANIEL HALE WILLIAMS,7.6
13K313,SATELLITE WEST MIDDLE SCHOOL,11.9
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,12.7
13K351,THE URBAN ASSEMBLY UNISON SCHOOL,9.2
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",12.9
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",16.5
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,21.8
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,14.2
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,14.9
13K492,ACADEMY OF ARTS AND LETTERS,15.2
13K499,ACORN COMMUNITY HIGH SCHOOL,13.4
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,13.1
13K553,BROOKLYN ACADEMY HIGH SCHOOL,12.4
13K594,GOTHAM PROFESSIONAL ARTS ACADEMY,12.7
13K595,BEDFORD ACADEMY HIGH SCHOOL,17.1
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,14.6
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,12.9
13K670,BENJAMIN BANNEKER ACADEMY,16.9
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",14.9
13K691,FORT GREENE PREPARATORY ACADEMY,10.8
14K016,PS 016 LEONARD DUNKLY,15.6
14K017,PS 017 HENRY D WOODWORTH,10.4
14K018,PS 018 EDWARD BUSH,10.9
14K023,PS 023 CARTER G WOODSON,11
14K031,PS 031 SAMUEL F DUPONT,16.4
14K034,PS 034 OLIVER H PERRY,15.4
14K050,JHS 050 JOHN D WELLS,12.7
14K059,PS 059 WILLIAM FLOYD,12
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,9.1
14K084,PS 084 JOSE DE DIEGO,9
14K110,PS 110 THE MONITOR,16.2
14K120,PS 120 CARLOS TAPIA,13.3
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,10.5
14K132,PS 132 THE CONSELYEA SCHOOL,17.2
14K147,PS 147 ISAAC REMSEN,14
14K157,PS/IS 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,11.5
14K196,PS 196 TEN EYCK,11
14K250,PS 250 GEORGE H LINDSAY,14
14K257,PS 257 JOHN F HYLAN,13.8
14K297,PS 297 ABRAHAM STOCKTON,12.7
14K318,IS 318 EUGENIO MARIA DE HOSTOS,14.6
14K319,PS 319,10.5
14K380,PS 380 JOHN WAYNE ELEMENTARY,11.3
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,15.1
14K449,"BROOKLYN LATIN SCHOOL, THE",18.3
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,12.2
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,15
14K477,SCHOOL FOR LEGAL STUDIES,12.7
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",16
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,15.2
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,16.6
14K561,WILLIAMSBURG PREPARATORY SCHOOL,14.8
14K577,CONSELYEA PREPARATORY SCHOOL,14.1
14K582,MS 582,11.6
14K586,LYONS COMMUNITY SCHOOL,10.9
14K610,AUTOMOTIVE HIGH SCHOOL,8.7
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,12.1
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,14.4
15K001,PS 001 THE BERGEN,11.8
15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",14.7
15K015,PS 015 PATRICK F DALY,10.4
15K024,PS 024,11.4
15K029,PS 029 JOHN M HARRIGAN,16.4
15K032,PS 032 SAMUEL MILLS SPROLE,7.4
15K038,PS 038 THE PACIFIC,18.9
15K039,PS 039 HENRY BRISTOW,15.6
15K051,MS 51 WILLIAM ALEXANDER,17.6
15K058,PS 058 THE CARROLL,16.1
15K088,JHS 088 PETER ROUGET,14.8
15K094,PS 094 THE HENRY LONGFELLOW,13.1
15K107,PS 107 JOHN W KIMBALL,15.3
15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,20.4
15K124,PS 124 SILAS B DUTCHER,11.6
15K130,PS 130 THE PARKSIDE,13.9
15K131,PS 131 BROOKLYN,12.4
15K136,IS 136 CHARLES O DEWEY,10.7
15K146,PS 146,13.4
15K154,THE WINDSOR TERRACE SCHOOL,16.1
15K169,PS 169 SUNSET PARK,12.8
15K172,PS 172 BEACON SCHOOL OF EXCELLENCE,11
15K230,PS 230 DORIS L COHEN,13.3
15K261,PS 261 PHILIP LIVINGSTON,14.9
15K295,PS 295,11.2
15K321,PS 321 WILLIAM PENN,16.9
15K418,THE CHILDRENS SCHOOL,12.2
15K423,BROOKLYN FRONTIERS HIGH SCHOOL,7.5
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,11.8
15K442,MS 442 CARROLL GARDENS SCHOOL FOR INNOVATION,8.8
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,16.5
15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,11.1
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,11.4
15K462,SECONDARY SCHOOL FOR LAW,13.2
15K463,SECONDARY SCHOOL FOR JOURNALISM,17.9
15K464,PARK SLOPE COLLEGIATE,12.9
15K497,SCHOOL FOR INTERNATIONAL STUDIES,14.2
15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,11.9
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,14.1
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,12.3
15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,8.7
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,14.9
15K667,SUNSET PARK HIGH SCHOOL,11.4
15K676,RED HOOK NEIGHBORHOOD SCHOOL,7.7
15K684,MILLENNIUM BROOKLYN HS,11.4
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,12.4
15K821,SUNSET PARK PREP,12.7
15K839,MS 839,11.9
15K896,THE SCHOOL OF CREATIVITY AND INNOVATION,6
16K005,PS 005 DR RONALD MCNAIR,14
16K021,PS 021 CRISPUS ATTUCKS,14.8
16K025,PS 025 EUBIE BLAKE SCHOOL,6.1
16K026,PS 026 JESSE OWENS,9.6
16K028,PS 028 THE WARREN PREP ACADEMY,7
16K035,MS 035 STEPHEN DECATUR,12.6
16K040,PS 040 GEORGE W CARVER,12.9
16K057,JHS 057 WHITELAW REID,10.9
16K081,PS 081 THADDEUS STEVENS,9.2
16K243,PS 243K- THE WEEKSVILLE SCHOOL,9.7
16K262,PS 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,12
16K267,"MS 267 MATH, SCIENCE & TECHNOLOGY",10.3
16K308,PS 308 CLARA CARDWELL,9.3
16K309,PS 309 THE GEORGE E WIBECAN PREPARATORY ACADEMY,9.8
16K335,PS 335 GRANVILLE T WOODS,9.4
16K455,BOYS AND GIRLS HIGH SCHOOL,11.3
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,15.4
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,14.4
16K628,BROOKLYN BROWNSTONE SCHOOL,13.5
16K669,RESEARCH AND SERVICE HIGH SCHOOL,16.4
16K681,MADIBA PREP MIDDLE SCHOOL,10.9
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,9.3
16K765,NELSON MANDELA HIGH SCHOOL,13.4
16K898,THE BROOKLYN GREEN SCHOOL,8.2
17K002,PARKSIDE PREPARATORY ACADEMY,14.5
17K006,PS 006,14.3
17K012,DR JACQUELINE PEEK-DAVIS SCHOOL,16.4
17K061,MS 061 DR GLADSTONE H ATWELL,15.5
17K091,PS 091 THE ALBANY AVENUE SCHOOL,13.8
17K092,PS 092 ADRIAN HEGEMAN,11.6
17K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL (P-TECH),17
17K138,PS 138 BROOKLYN,12.4
17K161,PS 161 THE CROWN,13.9
17K181,PS 181 BROOKLYN,14.9
17K189,PS 189 THE BILINGUAL CENTER,14.5
17K191,PS 191 PAUL ROBESON,10.5
17K221,PS 221 TOUSSAINT L'OUVERTURE,14.3
17K241,PS 241 EMMA L JOHNSTON,15.3
17K246,MS 246 WALT WHITMAN,14.1
17K249,PS 249 THE CATON,15.6
17K289,PS 289 GEORGE V BROWER,12.3
17K316,PS 316 ELIJAH STROUD,11.7
17K340,IS 340,12.8
17K352,EBBETS FIELD MIDDLE SCHOOL,8.1
17K353,ELIJAH STROUD MIDDLE SCHOOL,12.3
17K354,THE SCHOOL OF INTEGRATED LEARNING,10.8
17K375,PS 375 JACKIE ROBINSON SCHOOL,11.9
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,15.6
17K394,MS K394,13.8
17K397,PS 397 FOSTER-LAURIE,11.1
17K398,PS 398 WALTER WEAVER,11.3
17K399,PS 399 STANLEY EUGENE CLARK,15.2
17K408,ACADEMY OF HOSPITALITY AND TOURISM,12.2
17K484,RONALD EDMONDS LEARNING CENTER II,11.1
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,12.1
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,17
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",13
17K532,NEW BRIDGES ELEMENTARY,11
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,19.6
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,14.8
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",17.7
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,15.6
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,16.9
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,13.5
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,14.2
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,20.6
17K600,CLARA BARTON HIGH SCHOOL,15.7
17K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,8.4
17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,13.2
17K722,NEW HEIGHTS MIDDLE SCHOOL,11
17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,15
17K751,ACADEMY FOR HEALTH CAREERS,10.8
17K770,PS 770 NEW AMERICAN ACADEMY,14.9
18K066,PS 66,14.8
18K068,IS 068 ISAAC BILDERSEE,10.5
18K114,PS 114 RYDER ELEMENTARY,12.7
18K115,PS 115 DANIEL MUCATEL SCHOOL,16
18K135,PS 135 SHELDON A BROOKNER,15.8
18K208,PS 208 ELSA EBELING,11.1
18K211,IS 211 JOHN WILSON,12.9
18K219,PS 219 KENNEDY-KING,14.9
18K233,PS 233 LANGSTON HUGHES,12.1
18K235,PS 235 LENOX SCHOOL,17.6
18K244,PS 244 RICHARD R GREEN,8.8
18K268,PS 268 EMMA LAZARUS,11
18K272,PS 272 CURTIS ESTABROOK,10.5
18K276,PS 276 LOUIS MARSHALL,13.6
18K279,PS 279 HERMAN SCHREIBER,14.8
18K285,IS 285 MEYER LEVIN,14.2
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,12.3
18K563,IT TAKES A VILLAGE ACADEMY,13
18K566,BROOKLYN GENERATION SCHOOL,9.9
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,19.4
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,11.4
18K576,VICTORY COLLEGIATE HIGH SCHOOL,11.4
18K578,BROOKLYN BRIDGE ACADEMY,13.6
18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,17.2
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,9.3
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,10.6
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,12
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,17.1
18K635,OLYMPUS ACADEMY,13.5
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,13
18K642,URBAN ACTION ACADEMY,15.3
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,9.3
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,13.3
19K007,PS 007 ABRAHAM LINCOLN,13.8
19K013,PS 013 ROBERTO CLEMENTE,11.7
19K065,PS 065,16.9
19K089,PS 089 CYPRESS HILLS,10.7
19K108,PS 108 SAL ABBRACCIAMENTO,13.5
19K149,PS 149 DANNY KAYE,15.4
19K158,PS 158 WARWICK,14.8
19K159,PS 159 ISAAC PITKIN,15.8
19K171,IS 171 ABRAHAM LINCOLN,12.6
19K190,PS 190 SHEFFIELD,11.9
19K202,PS 202 ERNEST S JENKYNS,12.7
19K213,PS 213 NEW LOTS,14.3
19K214,PS 214 MICHAEL FRIEDSAM,14.3
19K218,JHS 218 JAMES P SINNOTT,11.7
19K224,PS 224 HALE A WOODRUFF,12.2
19K273,PS 273 WORTMAN,13.8
19K290,PS 290 JUAN MOREL CAMPOS,10.9
19K292,JHS 292 MARGARET S DOUGLAS,13.2
19K306,PS 306 ETHAN ALLEN,10.6
19K325,THE FRESH CREEK SCHOOL,12.1
19K328,PS 328 PHYLLIS WHEATLEY,10.2
19K345,PS 345 PATROLMAN ROBERT BOLDEN,14.5
19K346,PS 346 ABE STARK,11.3
19K364,IS 364 GATEWAY,13.3
19K404,ACADEMY FOR YOUNG WRITERS,12.1
19K409,EAST NEW YORK FAMILY ACADEMY,12.6
19K422,SPRING CREEK COMMUNITY SCHOOL,10.7
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,13.3
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,12.7
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,16.2
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,14.2
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,12.5
19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,10.4
19K583,MULTICULTURAL HIGH SCHOOL,12.2
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,13.5
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,12.4
19K639,BROOKLYN LAB SCHOOL,13.8
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,14.6
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,14.2
19K660,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,11.3
19K661,VISTA ACADEMY,17
19K662,LIBERTY AVENUE MIDDLE SCHOOL,11.5
19K663,SCHOOL OF THE FUTURE BROOKLYN,9.8
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,13.3
19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,12.7
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PEFORMERS",14.1
