District,Borough,Building ID,School,Project #,Description,FY,Total
06,Manhattan,M192,P.S. 192,DSF0000912087,State of Good Repair - System Replacements - Electrical Systems,2020,200000
07,Bronx,X025,P.S. 25,DSF0000912118,State of Good Repair - System Replacements - Electrical Systems,2020,190000
07,Bronx,X040,P.S. 220,DSF0000912120,State of Good Repair - System Replacements - Electrical Systems,2020,200000
07,Bronx,X151,I.S. 151,DSF0000908751,State of Good Repair - System Replacements - Exterior Masonry,2020,7165449
07,Bronx,X151,I.S. 151,DSF0000908750,State of Good Repair - System Replacements - Roofs,2020,3978688
07,Bronx,X161,P.S. 161,DSF0000912143,State of Good Repair - System Replacements - Electrical Systems,2020,193400
07,Bronx,X162,I.S. 162,DSF0000912144,State of Good Repair - System Replacements - Electrical Systems,2020,120000
08,Bronx,X060,P.S. 333,DSF0000912125,State of Good Repair - System Replacements - Electrical Systems,2020,30000
08,Bronx,X062,P.S. 62,DSF0000912127,State of Good Repair - System Replacements - Electrical Systems,2020,190000
08,Bronx,X074,I.S. 201,DSF0000912207,State of Good Repair - System Replacements - Electrical Systems,2020,715263
08,Bronx,X100,P.S. 100,DSF0000912133,State of Good Repair - System Replacements - Electrical Systems,2020,170000
08,Bronx,X123,I.S. 123,DSF0000866311,State of Good Repair - Building Upgrade - Boiler Conversion,2020,71743
08,Bronx,X123,I.S. 123,DSF0000862814,State of Good Repair - Building Upgrade - Climate Control,2020,26521
08,Bronx,X125,I.S. 125,DSF0000912223,State of Good Repair - System Replacements - Electrical Systems,2020,160000
08,Bronx,X140,P.S. 140,DSF0000798531,State of Good Repair - System Replacements - Domestic Piping,2020,854696
08,Bronx,X174,I.S. 174,DSF0000912146,State of Good Repair - System Replacements - Electrical Systems,2020,370000
09,Bronx,X058,P.S. 58,DSF0000912124,State of Good Repair - System Replacements - Electrical Systems,2020,240000
09,Bronx,X073,P.S. 73,DSF0000912129,State of Good Repair - System Replacements - Electrical Systems,2020,170000
09,Bronx,X090,P.S. 90,DSF0000912132,State of Good Repair - System Replacements - Electrical Systems,2020,40000
09,Bronx,X104,P.S. 199,DSF0000912134,State of Good Repair - System Replacements - Electrical Systems,2020,270000
09,Bronx,X126,P.S. 126 (ECF),DSF0000912138,State of Good Repair - System Replacements - Electrical Systems,2020,260000
09,Bronx,X145,I.S. 145,DSF0000908640,State of Good Repair - System Replacements - Roofs,2020,3708946
09,Bronx,X145,I.S. 145,DSF0000908641,State of Good Repair - System Replacements - Parapets,2020,729583
09,Bronx,X145,I.S. 145,DSF0000908642,State of Good Repair - System Replacements - Exterior Masonry,2020,5629996
09,Bronx,X145,I.S. 145,DSF0000912246,Educational Enhancements - Educational Enhancements - School Improvement and Restructuring,2020,115000
09,Bronx,X145,I.S. 145,DSF0000912165,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,731000
09,Bronx,X145,I.S. 145,DSF0000912247,Educational Enhancements - Educational Enhancements - School Improvement and Restructuring,2020,218000
09,Bronx,X147,I.S. 339 (OLD 147),DSF0000912142,State of Good Repair - System Replacements - Electrical Systems,2020,30000
09,Bronx,X166,I.S. 166,DSF0000912145,State of Good Repair - System Replacements - Electrical Systems,2020,193400
09,Bronx,X338,MORRIS HEIGHTS EDUCATIONAL COMPLEX,DSF0000911284,State of Good Repair - System Replacements - Parapets,2022,1194155
10,Bronx,X008,P.S. 8,DSF0000906383,State of Good Repair - System Replacements - Exterior Masonry,2021,2622513
10,Bronx,X008,P.S. 8,DSF0000906382,State of Good Repair - System Replacements - Parapets,2021,1817114
10,Bronx,X008,P.S. 8,DSF0000906381,State of Good Repair - System Replacements - Roofs,2021,4230642
10,Bronx,X079,P.S. 79,DSF0000912131,State of Good Repair - System Replacements - Electrical Systems,2020,193400
10,Bronx,X115,I.S. 399 (OLD X HS/115),DSF0000912135,State of Good Repair - System Replacements - Electrical Systems,2020,160000
10,Bronx,X122,P.S. 310,DSF0000912137,State of Good Repair - System Replacements - Electrical Systems,2020,300000
10,Bronx,X141,M.S./H.S. 141,DSF0000912210,State of Good Repair - System Replacements - Electrical Systems,2020,653683
10,Bronx,X143,I.S. 143,DSF0000912140,State of Good Repair - System Replacements - Electrical Systems,2020,190000
10,Bronx,X206,I.S. 206B,DSF0000909253,State of Good Repair - Building Upgrade - Flood Elimination,2022,722255
10,Bronx,X206,I.S. 206B,DSF0000909255,State of Good Repair - System Replacements - Parapets,2022,1710775
10,Bronx,X306,P.S. 306,DSF0000912212,State of Good Repair - System Replacements - Electrical Systems,2020,1442459
10,Bronx,X826,P.S. 226 MINISCHOOL,DSF0000912148,State of Good Repair - System Replacements - Electrical Systems,2020,130000
10,Bronx,X853,P.S. 59 ANNEX,DSF0000909948,State of Good Repair - System Replacements - Roofs,2021,953520
11,Bronx,X041,P.S. 41,DSF0000912121,State of Good Repair - System Replacements - Electrical Systems,2020,210000
11,Bronx,X078,P.S. 78,DSF0000912130,State of Good Repair - System Replacements - Electrical Systems,2020,110000
11,Bronx,X144,I.S. 144,DSF0000912141,State of Good Repair - System Replacements - Electrical Systems,2020,193400
11,Bronx,X160,P.S. 160,DSF0000908894,State of Good Repair - System Replacements - Exterior Masonry,2021,3328574
11,Bronx,X160,P.S. 160,DSF0000908893,State of Good Repair - System Replacements - Parapets,2021,3634229
12,Bronx,X006,P.S. 6,DSF0000906343,State of Good Repair - Building Upgrade - Flood Elimination,2022,1406601
12,Bronx,X006,P.S. 6,DSF0000906348,State of Good Repair - System Replacements - Exterior Masonry,2022,6351875
12,Bronx,X006,P.S. 6,DSF0000906347,State of Good Repair - System Replacements - Parapets,2022,3962492
12,Bronx,X006,P.S. 6,DSF0000906346,State of Good Repair - System Replacements - Roofs,2022,1591507
12,Bronx,X057,P.S. 57,DSF0000912123,State of Good Repair - System Replacements - Electrical Systems,2020,240000
12,Bronx,X061,P.S. 61,DSF0000912126,State of Good Repair - System Replacements - Electrical Systems,2020,170000
12,Bronx,X067,P.S. 67,DSF0000912128,State of Good Repair - System Replacements - Electrical Systems,2020,170000
12,Bronx,X102,P.S. 102,DSF0000912208,State of Good Repair - System Replacements - Electrical Systems,2020,684759
12,Bronx,X134,P.S. 134,DSF0000912139,State of Good Repair - System Replacements - Electrical Systems,2020,180000
12,Bronx,X167,P.S. 214,DSF0000908962,State of Good Repair - System Replacements - Parapets,2022,2784004
12,Bronx,X193,P.S. 211,DSF0000912211,State of Good Repair - System Replacements - Electrical Systems,2020,663790
12,Bronx,X198,P.S. 198,DSF0000909221,State of Good Repair - System Replacements - Parapets,2020,2822030
12,Bronx,X198,P.S. 198,DSF0000909220,State of Good Repair - System Replacements - Roofs,2020,4397586
12,Bronx,X198,P.S. 198,DSF0000909222,State of Good Repair - System Replacements - Windows,2020,4851855
12,Bronx,X198,P.S. 198,DSF0000912245,Educational Enhancements - Educational Enhancements - School Improvement and Restructuring,2020,176000
12,Bronx,X198,P.S. 198,DSF0000909223,State of Good Repair - System Replacements - Exterior Masonry,2020,2967601
13,Brooklyn,K046,P.S. 46,DSF0000912046,State of Good Repair - System Replacements - Electrical Systems,2020,193400
13,Brooklyn,K093,P.S. 93,DSF0000892333,State of Good Repair - System Replacements - Windows,2022,9572956
13,Brooklyn,K093,P.S. 93,DSF0000892329,State of Good Repair - Building Upgrade - Flood Elimination,2022,1321294
13,Brooklyn,K093,P.S. 93,DSF0000866780,State of Good Repair - System Replacements - Electrical Systems,2020,9536
13,Brooklyn,K093,P.S. 93,DSF0000892334,State of Good Repair - System Replacements - Exterior Masonry,2022,4516889
13,Brooklyn,K093,P.S. 93,DSF0000892332,State of Good Repair - System Replacements - Parapets,2022,2641661
13,Brooklyn,K093,P.S. 93,DSF0000892331,State of Good Repair - System Replacements - Roofs,2022,2546411
13,Brooklyn,K265,I.S. 265,DSF0000895099,State of Good Repair - System Replacements - Roofs,2020,3304334
