District,Borough,Building ID,School,Project #,Description,FY,Total
22,Brooklyn,K217,P.S. 217,DSF0000912062,State of Good Repair - System Replacements - Electrical Systems,2020,180000
22,Brooklyn,K240,I.S. 240,DSF0000912065,State of Good Repair - System Replacements - Electrical Systems,2020,440000
22,Brooklyn,K251,P.S. 251,DSF0000912068,State of Good Repair - System Replacements - Electrical Systems,2020,190000
22,Brooklyn,K255,P.S. 255,DSF0000912237,State of Good Repair - System Replacements - Electrical Systems,2020,1902
23,Brooklyn,K155,P.S. 155,DSF0000912054,State of Good Repair - System Replacements - Electrical Systems,2020,180000
23,Brooklyn,K184,P.S. 184,DSF0000912057,State of Good Repair - System Replacements - Electrical Systems,2020,190000
23,Brooklyn,K284,P.S. 284,DSF0000798523,State of Good Repair - System Replacements - Domestic Piping,2020,942232
23,Brooklyn,K284,P.S. 284,DSF0000912180,State of Good Repair - System Replacements - Toilets - Students,2020,300000
23,Brooklyn,K298,P.S. 298,DSF0000798526,State of Good Repair - System Replacements - Domestic Piping,2020,909558
23,Brooklyn,K327,P.S. 327 (TANDEM K396-D75),DSF0000912218,State of Good Repair - System Replacements - Electrical Systems,2020,603324
23,Brooklyn,K332,P.S. 332,DSF0000895934,State of Good Repair - System Replacements - Exterior Masonry,2022,3771663
23,Brooklyn,K332,P.S. 332,DSF0000895933,State of Good Repair - System Replacements - Parapets,2022,2784004
23,Brooklyn,K332,P.S. 332,DSF0000895932,State of Good Repair - System Replacements - Roofs,2022,7002630
24,Queens,Q012,P.S. 12,DSF0000900613,State of Good Repair - Building Upgrade - Flood Elimination,2022,1031252
24,Queens,Q012,P.S. 12,DSF0000900617,State of Good Repair - System Replacements - Exterior Masonry,2022,5363806
24,Queens,Q012,P.S. 12,DSF0000900616,State of Good Repair - System Replacements - Parapets,2022,5283323
24,Queens,Q012,P.S. 12,DSF0000900615,State of Good Repair - System Replacements - Roofs,2022,3851447
24,Queens,Q013,P.S. 13,DSF0000900626,State of Good Repair - System Replacements - Parapets,2022,5723600
24,Queens,Q013,P.S. 13,DSF0000900624,State of Good Repair - Building Upgrade - Flood Elimination,2022,1235988
24,Queens,Q013,P.S. 13,DSF0000900627,State of Good Repair - System Replacements - Exterior Masonry,2022,12562598
24,Queens,Q058,P.S. 58,DSF0000910388,State of Good Repair - System Replacements - Roofs,2021,3626264
24,Queens,Q058,P.S. 58,DSF0000910390,State of Good Repair - System Replacements - Exterior Masonry,2021,5547623
24,Queens,Q058,P.S. 58,DSF0000910389,State of Good Repair - System Replacements - Parapets,2021,1982307
24,Queens,Q073,I.S. 73,DSF0000912095,State of Good Repair - System Replacements - Electrical Systems,2020,720000
24,Queens,Q091,P.S. 91,DSF0000901810,State of Good Repair - Building Upgrade - Flood Elimination,2022,1520377
24,Queens,Q091,P.S. 91,DSF0000901812,State of Good Repair - System Replacements - Exterior Masonry,2022,7622250
24,Queens,Q091,P.S. 91,DSF0000901811,State of Good Repair - System Replacements - Roofs,2022,2811662
24,Queens,Q093,I.S. 93,DSF0000912098,State of Good Repair - System Replacements - Electrical Systems,2020,300000
24,Queens,Q119,I.S. 119,DSF0000902237,State of Good Repair - System Replacements - Parapets,2021,2553036
24,Queens,Q119,I.S. 119,DSF0000902239,State of Good Repair - System Replacements - Exterior Masonry,2021,7069471
24,Queens,Q119,I.S. 119,DSF0000902234,State of Good Repair - Building Upgrade - Flood Elimination,2021,1254409
24,Queens,Q119,I.S. 119,DSF0000902238,State of Good Repair - System Replacements - Windows,2021,6398246
24,Queens,Q143,P.S. 143,DSF0000902669,State of Good Repair - Building Upgrade - Flood Elimination,2022,1417845
24,Queens,Q143,P.S. 143,DSF0000902671,State of Good Repair - System Replacements - Parapets,2022,3962492
24,Queens,Q143,P.S. 143,DSF0000902670,State of Good Repair - System Replacements - Roofs,2022,2970813
24,Queens,Q269,P.S./I.S. 269,DSF0000912111,State of Good Repair - System Replacements - Electrical Systems,2020,180000
25,Queens,Q020,P.S. 20,DSF0000912090,State of Good Repair - System Replacements - Electrical Systems,2020,190000
25,Queens,Q107,P.S. 107,DSF0000902054,State of Good Repair - System Replacements - Exterior Masonry,2022,8186862
