Data os of Date,Community District,ProgramTypeName,Female Count,Female Percentage,Male Count,Male Percentage,Gender Nonconforming Count,Gender Nonconforming Percentage,American Indian or Alaskan Native Count,American Indian or Alaskan Native Percentage,Asian Count,Asian Percentage,Black or African American Count,Black or African American Percentage,Multi-race Count,Multi-race Percentage,Native Hawaiian or Other Pacific Islander Count,Native Hawaiian or Other Pacific Islander Percentage,White or Caucasian Count,White or Caucasian Percentage,Hispanic or Latino(a) Count,Hispanic or Latino(a) Percentage,Not Hispanic or Latino(a) Count,Not Hispanic or Latino(a) Percentage,Not Sure Count,Not Sure Percentage,X (Not Male Or Female) Count,X (Not Male Or Female) Percentage,Another Gender Count,Another Gender Percentage,Decline to Answer Count,Decline to Answer Percentage,Do not understand the question Count,Do not understand the question Percentage,Female Gender Identity Count,Female Gender Identity Percentage,Male Gender Identity Count,Male Gender Identity Percentage,Multi-Gender Identity Count,Multi-Gender Identity Percentage,Non-Binary (not Female or Male) Count,Non-Binary (not Female or Male) Percentage,Not Sure Gender Identity Count,Not Sure Gender Identity Percentage,Two Spirit (Native American/First Nations) Count,Two Spirit (Native American/First Nations) Percentage
06/26/2020,Bronx CD 001,Adult Literacy - ABE/HSE,18,0.64,14,0.5,0,0,0,0,0,0,12,0.42,2,0.07,0,0,1,0.03,24,0.85,8,0.28,0,0,0,0,0,0,0,0,0,0,18,0.64,14,0.5,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - ABE/HSE (Discretionary),19,0.67,43,1.53,0,0,5,0.17,0,0,35,1.25,1,0.03,1,0.03,7,0.25,36,1.28,26,0.92,0,0,0,0,0,0,0,0,0,0,22,0.78,40,1.42,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - BENL/ESOL,285,10.17,123,4.39,0,0,0,0,1,0.03,16,0.57,1,0.03,0,0,0,0,353,12.6,55,1.96,0,0,0,0,0,0,8,0.28,0,0,280,10,119,4.25,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - BENL/ESOL (Discretionary),7,0.25,4,0.14,0,0,0,0,1,0.03,1,0.03,0,0,0,0,1,0.03,10,0.35,1,0.03,0,0,0,0,0,0,0,0,0,0,7,0.25,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Adult Literacy - NDA (ABE/HSE/Spanish HSE),104,3.71,33,1.17,0,0,1,0.03,1,0.03,15,0.53,1,0.03,0,0,4,0.14,119,4.25,18,0.64,0,0,0,0,0,0,0,0,0,0,106,3.78,31,1.1,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Beacon,343,12.25,453,16.18,0,0,7,0.25,5,0.17,299,10.67,13,0.46,6,0.21,35,1.25,560,20,236,8.42,0,0,0,0,0,0,78,2.78,1,0.03,116,4.14,204,7.28,1,0.03,0,0,1,0.03,0,0
06/26/2020,Bronx CD 001,COMPASS Explore,15,0.53,8,0.28,0,0,1,0.03,0,0,9,0.32,0,0,0,0,0,0,17,0.6,6,0.21,0,0,0,0,0,0,8,0.28,0,0,9,0.32,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,COMPASS High School,10,0.35,13,0.46,0,0,0,0,0,0,9,0.32,1,0.03,0,0,3,0.1,19,0.67,4,0.14,0,0,0,0,0,0,2,0.07,0,0,10,0.35,7,0.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 001,COMPASS Middle School,851,30.39,869,31.03,0,0,6,0.21,8,0.28,751,26.82,28,1,5,0.17,69,2.46,1051,37.54,667,23.82,0,0,0,0,0,0,13,0.46,1,0.03,58,2.07,68,2.42,0,0,0,0,2,0.07,0,0
06/26/2020,Bronx CD 001,Cornerstone,368,13.14,581,20.75,0,0,12,0.42,1,0.03,624,22.28,15,0.53,6,0.21,23,0.82,440,15.71,509,18.18,0,0,0,0,0,0,44,1.57,0,0,123,4.39,230,8.21,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 001,Drop-in Centers,143,5.1,209,7.46,0,0,2,0.07,1,0.03,192,6.85,13,0.46,4,0.14,24,0.85,127,4.53,220,7.85,0,0,0,0,0,0,1,0.03,0,0,114,4.07,176,6.28,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 001,ESL Civics,34,1.21,13,0.46,0,0,0,0,1,0.03,12,0.42,0,0,0,0,0,0,34,1.21,13,0.46,0,0,0,0,0,0,0,0,0,0,33,1.17,14,0.5,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - ABE/HSE,8,0.28,4,0.14,0,0,1,0.03,0,0,5,0.17,0,0,0,0,1,0.03,8,0.28,4,0.14,0,0,0,0,0,0,0,0,0,0,8,0.28,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - ABE/HSE (Discretionary),6,0.21,7,0.25,0,0,1,0.03,0,0,7,0.25,0,0,0,0,0,0,7,0.25,6,0.21,0,0,0,0,0,0,0,0,0,0,6,0.21,7,0.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - BENL/ESOL,78,2.78,25,0.89,0,0,0,0,0,0,7,0.25,0,0,1,0.03,0,0,93,3.32,10,0.35,0,0,0,0,0,0,2,0.07,0,0,80,2.85,21,0.75,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - BENL/ESOL (Discretionary),41,1.46,17,0.6,0,0,0,0,0,0,10,0.35,0,0,0,0,4,0.14,57,2.03,1,0.03,0,0,0,0,0,0,0,0,0,0,42,1.5,16,0.57,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Adult Literacy - NDA (ABE/HSE/Spanish HSE),8,0.28,5,0.17,0,0,1,0.03,0,0,9,0.32,0,0,0,0,1,0.03,5,0.17,8,0.28,0,0,0,0,0,0,0,0,0,0,8,0.28,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Beacon,313,11.17,393,14.03,0,0,8,0.28,4,0.14,265,9.46,7,0.25,1,0.03,25,0.89,494,17.64,213,7.6,1,0.03,0,0,0,0,111,3.96,0,0,50,1.78,111,3.96,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 002,COMPASS Elementary,1018,36.36,957,34.18,0,0,11,0.39,7,0.25,669,23.89,22,0.78,9,0.32,81,2.89,1423,50.82,549,19.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,COMPASS Explore,25,0.89,17,0.6,0,0,1,0.03,0,0,14,0.5,2,0.07,0,0,1,0.03,33,1.17,9,0.32,0,0,0,0,0,0,3,0.1,0,0,19,0.67,15,0.53,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,COMPASS High School,16,0.57,12,0.42,0,0,0,0,0,0,12,0.42,1,0.03,0,0,2,0.07,21,0.75,7,0.25,0,0,0,0,0,0,0,0,0,0,12,0.42,11,0.39,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,COMPASS Middle School,568,20.28,525,18.75,0,0,8,0.28,3,0.1,416,14.85,22,0.78,9,0.32,32,1.14,738,26.36,354,12.64,0,0,0,0,0,0,14,0.5,0,0,25,0.89,36,1.28,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Cornerstone,56,2,75,2.67,0,0,0,0,0,0,81,2.89,2,0.07,2,0.07,3,0.1,63,2.25,69,2.46,1,0.03,0,0,0,0,7,0.25,0,0,37,1.32,44,1.57,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,Drop-in Centers,2,0.07,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 002,ESL Civics,11,0.39,5,0.17,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,14,0.5,2,0.07,0,0,0,0,0,0,0,0,0,0,10,0.35,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Adolescent Literacy,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Adult Literacy - ABE/HSE,11,0.39,8,0.28,0,0,0,0,0,0,7,0.25,3,0.1,1,0.03,1,0.03,10,0.35,9,0.32,0,0,0,0,0,0,0,0,0,0,11,0.39,8,0.28,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Adult Literacy - ABE/HSE (Discretionary),7,0.25,8,0.28,0,0,0,0,0,0,11,0.39,1,0.03,0,0,1,0.03,6,0.21,9,0.32,0,0,0,0,0,0,0,0,0,0,7,0.25,8,0.28,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Adult Literacy - BENL/ESOL,138,4.92,41,1.46,0,0,1,0.03,0,0,14,0.5,0,0,0,0,3,0.1,149,5.32,30,1.07,0,0,0,0,0,0,3,0.1,0,0,134,4.78,42,1.5,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Adult Literacy - BENL/ESOL (Discretionary),19,0.67,10,0.35,0,0,0,0,0,0,6,0.21,1,0.03,0,0,1,0.03,27,0.96,2,0.07,0,0,0,0,0,0,1,0.03,1,0.03,18,0.64,9,0.32,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Adult Literacy - NDA (ABE/HSE/Spanish HSE),22,0.78,12,0.42,0,0,1,0.03,0,0,22,0.78,1,0.03,0,0,1,0.03,17,0.6,17,0.6,0,0,0,0,0,0,0,0,0,0,22,0.78,12,0.42,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,Beacon,333,11.89,424,15.14,1,0.03,4,0.14,2,0.07,427,15.25,19,0.67,0,0,14,0.5,368,13.14,389,13.89,0,0,0,0,1,0.03,79,2.82,1,0.03,68,2.42,127,4.53,1,0.03,0,0,1,0.03,0,0
06/26/2020,Bronx CD 003,COMPASS Elementary,1388,49.57,1311,46.82,0,0,23,0.82,5,0.17,1413,50.47,29,1.03,13,0.46,108,3.85,1572,56.14,1122,40.07,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,COMPASS Explore,43,1.53,26,0.92,0,0,1,0.03,2,0.07,35,1.25,2,0.07,1,0.03,4,0.14,38,1.35,31,1.1,0,0,0,0,0,0,12,0.42,0,0,23,0.82,16,0.57,0,0,1,0.03,1,0.03,0,0
06/26/2020,Bronx CD 003,COMPASS High School,19,0.67,15,0.53,0,0,0,0,0,0,16,0.57,1,0.03,0,0,2,0.07,18,0.64,16,0.57,0,0,0,0,0,0,0,0,0,0,15,0.53,13,0.46,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,COMPASS Middle School,896,32,968,34.57,0,0,11,0.39,9,0.32,1009,36.03,43,1.53,6,0.21,42,1.5,971,34.68,891,31.82,2,0.07,0,0,0,0,44,1.57,0,0,57,2.03,87,3.1,0,0,0,0,2,0.07,0,0
06/26/2020,Bronx CD 003,Cornerstone,228,8.14,334,11.92,0,0,4,0.14,0,0,410,14.64,13,0.46,3,0.1,7,0.25,194,6.92,368,13.14,0,0,0,0,0,0,18,0.64,0,0,96,3.42,188,6.71,0,0,0,0,1,0.03,0,0
06/26/2020,Bronx CD 003,Drop-in Centers,3,0.1,9,0.32,0,0,1,0.03,0,0,8,0.28,0,0,0,0,0,0,3,0.1,9,0.32,0,0,0,0,0,0,0,0,0,0,3,0.1,8,0.28,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 003,ESL Civics,27,0.96,7,0.25,0,0,0,0,0,0,11,0.39,0,0,0,0,1,0.03,22,0.78,12,0.42,0,0,0,0,0,0,0,0,0,0,27,0.96,6,0.21,0,0,0,0,1,0.03,0,0
06/26/2020,Bronx CD 004,Adult Literacy - ABE/HSE,13,0.46,14,0.5,0,0,0,0,0,0,13,0.46,2,0.07,0,0,1,0.03,19,0.67,8,0.28,0,0,0,0,0,0,0,0,0,0,12,0.42,14,0.5,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 004,Adult Literacy - ABE/HSE (Discretionary),9,0.32,6,0.21,0,0,0,0,0,0,8,0.28,0,0,0,0,0,0,8,0.28,7,0.25,0,0,0,0,0,0,0,0,0,0,9,0.32,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,Adult Literacy - BENL/ESOL,270,9.64,77,2.75,0,0,1,0.03,2,0.07,36,1.28,1,0.03,0,0,7,0.25,293,10.46,54,1.92,0,0,0,0,0,0,20,0.71,1,0.03,250,8.92,74,2.64,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,Adult Literacy - BENL/ESOL (Discretionary),18,0.64,8,0.28,0,0,0,0,0,0,8,0.28,0,0,0,0,2,0.07,24,0.85,3,0.1,1,0.03,0,0,0,0,0,0,0,0,19,0.67,8,0.28,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,Adult Literacy - NDA (ABE/HSE/Spanish HSE),51,1.82,34,1.21,1,0.03,0,0,1,0.03,34,1.21,2,0.07,0,0,3,0.1,58,2.07,27,0.96,0,0,0,0,0,0,0,0,0,0,51,1.82,32,1.14,0,0,1,0.03,0,0,0,0
06/26/2020,Bronx CD 004,Beacon,575,20.53,670,23.93,0,0,8,0.28,5,0.17,685,24.46,16,0.57,4,0.14,24,0.85,882,31.5,364,13,1,0.03,0,0,0,0,145,5.17,0,0,286,10.21,277,9.89,3,0.1,0,0,2,0.07,0,0
06/26/2020,Bronx CD 004,COMPASS Elementary,1917,68.47,1820,65,0,0,24,0.85,22,0.78,1125,40.18,47,1.67,1,0.03,64,2.28,2668,95.29,1061,37.89,1,0.03,2,0.07,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,COMPASS Explore,39,1.39,33,1.17,0,0,1,0.03,4,0.14,27,0.96,3,0.1,0,0,3,0.1,52,1.85,20,0.71,0,0,0,0,1,0.03,11,0.39,0,0,27,0.96,27,0.96,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,COMPASS High School,20,0.71,20,0.71,0,0,0,0,1,0.03,14,0.5,0,0,0,0,4,0.14,25,0.89,15,0.53,0,0,0,0,0,0,3,0.1,0,0,17,0.6,19,0.67,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,COMPASS Middle School,1736,62,1686,60.22,0,0,25,0.89,28,1,1154,41.21,56,2,8,0.28,88,3.14,2289,81.75,1121,40.04,3,0.1,0,0,0,0,35,1.25,0,0,91,3.25,139,4.96,1,0.03,0,0,10,0.35,0,0
06/26/2020,Bronx CD 004,Cornerstone,194,6.92,267,9.53,3,0.1,1,0.03,1,0.03,307,10.96,7,0.25,5,0.17,6,0.21,204,7.28,259,9.25,2,0.07,0,0,0,0,28,1,0,0,85,3.03,143,5.1,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,Drop-in Centers,4,0.14,4,0.14,0,0,0,0,0,0,3,0.1,0,0,0,0,1,0.03,1,0.03,7,0.25,0,0,0,0,0,0,0,0,0,0,3,0.1,3,0.1,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 004,ESL Civics,22,0.78,11,0.39,0,0,0,0,1,0.03,9,0.32,0,0,0,0,0,0,22,0.78,11,0.39,0,0,0,0,0,0,2,0.07,0,0,20,0.71,11,0.39,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,Adolescent Literacy,1,0.03,3,0.1,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,4,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,Adult Literacy - ABE/HSE,18,0.64,7,0.25,0,0,0,0,0,0,10,0.35,3,0.1,0,0,2,0.07,13,0.46,12,0.42,0,0,0,0,0,0,0,0,0,0,18,0.64,7,0.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,Adult Literacy - ABE/HSE (Discretionary),2,0.07,7,0.25,0,0,1,0.03,0,0,2,0.07,0,0,1,0.03,1,0.03,6,0.21,3,0.1,0,0,0,0,0,0,0,0,0,0,2,0.07,7,0.25,0,0,0,0,0,0,0,0
06/01/2019,Bronx CD 002,Beacon,187,11.59,202,12.52,0,0,3,0.18,2,0.12,116,7.18,9,0.55,1,0.06,14,0.86,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
06/26/2020,Bronx CD 005,Adult Literacy - BENL/ESOL,139,4.96,66,2.35,0,0,0,0,0,0,9,0.32,1,0.03,0,0,7,0.25,189,6.75,16,0.57,0,0,0,0,0,0,2,0.07,0,0,137,4.89,63,2.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,Adult Literacy - BENL/ESOL (Discretionary),24,0.85,7,0.25,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,31,1.1,0,0,0,0,0,0,0,0,0,0,0,0,24,0.85,7,0.25,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,Adult Literacy - NDA (ABE/HSE/Spanish HSE),39,1.39,34,1.21,0,0,2,0.07,0,0,21,0.75,1,0.03,1,0.03,1,0.03,52,1.85,21,0.75,0,0,0,0,0,0,1,0.03,0,0,36,1.28,36,1.28,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,Beacon,347,12.39,615,21.96,0,0,1,0.03,1,0.03,366,13.07,10,0.35,2,0.07,22,0.78,694,24.78,268,9.57,0,0,0,0,0,0,165,5.89,1,0.03,88,3.14,191,6.82,2,0.07,0,0,0,0,0,0
06/26/2020,Bronx CD 005,COMPASS Explore,68,2.42,30,1.07,0,0,0,0,0,0,32,1.14,1,0.03,0,0,10,0.35,71,2.53,27,0.96,0,0,0,0,0,0,17,0.6,0,0,18,0.64,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,COMPASS High School,37,1.32,27,0.96,0,0,1,0.03,1,0.03,27,0.96,1,0.03,0,0,5,0.17,42,1.5,22,0.78,0,0,0,0,0,0,12,0.42,0,0,23,0.82,25,0.89,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 005,COMPASS Middle School,1192,42.57,1096,39.14,0,0,21,0.75,7,0.25,834,29.78,39,1.39,7,0.25,71,2.53,1554,55.5,729,26.03,1,0.03,0,0,0,0,21,0.75,0,0,55,1.96,66,2.35,2,0.07,1,0.03,1,0.03,0,0
06/26/2020,Bronx CD 005,Cornerstone,149,5.32,228,8.14,0,0,5,0.17,2,0.07,201,7.17,7,0.25,5,0.17,3,0.1,201,7.17,176,6.28,0,0,0,0,0,0,34,1.21,0,0,64,2.28,95,3.39,0,0,0,0,1,0.03,0,0
06/26/2020,Bronx CD 005,Drop-in Centers,4,0.14,5,0.17,0,0,0,0,0,0,3,0.1,0,0,0,0,2,0.07,5,0.17,4,0.14,0,0,0,0,0,0,0,0,0,0,4,0.14,5,0.17,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 005,ESL Civics,14,0.5,6,0.21,0,0,0,0,0,0,4,0.14,0,0,0,0,0,0,15,0.53,5,0.17,0,0,0,0,0,0,3,0.1,0,0,11,0.39,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Adolescent Literacy,4,0.14,8,0.28,0,0,0,0,0,0,4,0.14,0,0,0,0,2,0.07,11,0.39,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Adult Literacy - ABE/HSE,11,0.39,4,0.14,0,0,0,0,0,0,3,0.1,1,0.03,0,0,4,0.14,12,0.42,3,0.1,0,0,0,0,0,0,0,0,0,0,11,0.39,4,0.14,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Adult Literacy - ABE/HSE (Discretionary),4,0.14,3,0.1,0,0,1,0.03,0,0,3,0.1,0,0,0,0,1,0.03,5,0.17,2,0.07,0,0,0,0,0,0,0,0,0,0,3,0.1,3,0.1,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Adult Literacy - BENL/ESOL,109,3.89,21,0.75,0,0,0,0,0,0,6,0.21,0,0,0,0,1,0.03,115,4.1,15,0.53,0,0,0,0,0,0,2,0.07,0,0,108,3.85,20,0.71,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Adult Literacy - BENL/ESOL (Discretionary),61,2.17,12,0.42,0,0,0,0,0,0,4,0.14,0,0,0,0,2,0.07,69,2.46,4,0.14,0,0,0,0,0,0,0,0,0,0,62,2.21,11,0.39,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Adult Literacy - NDA (ABE/HSE/Spanish HSE),30,1.07,11,0.39,0,0,1,0.03,0,0,18,0.64,3,0.1,0,0,4,0.14,28,1,13,0.46,0,0,0,0,0,0,2,0.07,0,0,28,1,11,0.39,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,Beacon,298,10.64,419,14.96,0,0,4,0.14,4,0.14,287,10.25,16,0.57,5,0.17,38,1.35,423,15.1,294,10.5,0,0,0,0,0,0,77,2.75,0,0,48,1.71,162,5.78,2,0.07,0,0,0,0,0,0
06/26/2020,Bronx CD 006,COMPASS Explore,23,0.82,7,0.25,0,0,0,0,0,0,12,0.42,1,0.03,0,0,4,0.14,16,0.57,14,0.5,0,0,0,0,0,0,7,0.25,0,0,18,0.64,3,0.1,0,0,0,0,1,0.03,0,0
06/26/2020,Bronx CD 006,COMPASS High School,29,1.03,19,0.67,0,0,0,0,0,0,17,0.6,1,0.03,0,0,2,0.07,39,1.39,9,0.32,0,0,0,0,0,0,8,0.28,0,0,17,0.6,17,0.6,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,COMPASS Middle School,834,29.78,785,28.03,0,0,18,0.64,2,0.07,703,25.11,25,0.89,6,0.21,80,2.85,1038,37.07,579,20.68,0,0,0,0,0,0,14,0.5,0,0,39,1.39,50,1.78,0,0,0,0,1,0.03,0,0
06/26/2020,Bronx CD 006,Cornerstone,178,6.35,243,8.67,0,0,3,0.1,0,0,253,9.03,16,0.57,1,0.03,6,0.21,202,7.21,222,7.92,1,0.03,2,0.07,1,0.03,9,0.32,0,0,69,2.46,112,4,0,0,0,0,2,0.07,0,0
06/26/2020,Bronx CD 006,Drop-in Centers,4,0.14,5,0.17,0,0,0,0,0,0,6,0.21,0,0,0,0,0,0,2,0.07,7,0.25,0,0,0,0,0,0,0,0,0,0,4,0.14,3,0.1,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 006,ESL Civics,15,0.53,4,0.14,0,0,0,0,1,0.03,4,0.14,0,0,0,0,0,0,15,0.53,4,0.14,0,0,0,0,0,0,0,0,0,0,14,0.5,4,0.14,0,0,0,0,1,0.03,0,0
06/26/2020,Bronx CD 007,Adult Literacy - ABE/HSE,15,0.53,13,0.46,0,0,0,0,2,0.07,13,0.46,0,0,0,0,3,0.1,19,0.67,9,0.32,0,0,0,0,0,0,1,0.03,0,0,15,0.53,11,0.39,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 007,Adult Literacy - ABE/HSE (Discretionary),4,0.14,3,0.1,0,0,1,0.03,0,0,2,0.07,0,0,0,0,0,0,7,0.25,0,0,0,0,0,0,0,0,0,0,0,0,4,0.14,3,0.1,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 007,Adult Literacy - BENL/ESOL,109,3.89,41,1.46,0,0,1,0.03,2,0.07,8,0.28,0,0,0,0,3,0.1,133,4.75,17,0.6,0,0,0,0,0,0,10,0.35,0,0,101,3.6,39,1.39,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 007,Adult Literacy - BENL/ESOL (Discretionary),34,1.21,13,0.46,0,0,0,0,1,0.03,1,0.03,0,0,0,0,2,0.07,46,1.64,1,0.03,0,0,0,0,0,0,0,0,0,0,34,1.21,13,0.46,0,0,0,0,0,0,0,0
06/01/2019,Bronx CD 002,COMPASS Elementary,284,17.6,241,14.93,0,0,3,0.18,1,0.06,195,12.08,8,0.49,2,0.12,16,0.99,11,0.68,3,0.18,,,,,,,,,,,,,,,,,,,,,,
06/26/2020,Bronx CD 007,Adult Literacy - NDA (ABE/HSE/Spanish HSE),21,0.75,15,0.53,0,0,1,0.03,1,0.03,9,0.32,0,0,1,0.03,3,0.1,29,1.03,7,0.25,0,0,0,0,0,0,1,0.03,0,0,20,0.71,15,0.53,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 007,Beacon,338,12.07,578,20.64,0,0,10,0.35,10,0.35,247,8.82,15,0.53,3,0.1,50,1.78,711,25.39,206,7.35,1,0.03,0,0,0,0,126,4.5,1,0.03,53,1.89,194,6.92,2,0.07,1,0.03,0,0,0,0
06/26/2020,Bronx CD 007,COMPASS Explore,57,2.03,42,1.5,0,0,2,0.07,19,0.67,18,0.64,0,0,0,0,8,0.28,62,2.21,37,1.32,0,0,0,0,0,0,21,0.75,0,0,15,0.53,11,0.39,1,0.03,0,0,0,0,0,0
06/26/2020,Bronx CD 007,COMPASS High School,13,0.46,23,0.82,0,0,1,0.03,1,0.03,13,0.46,0,0,0,0,4,0.14,25,0.89,11,0.39,1,0.03,0,0,0,0,5,0.17,2,0.07,10,0.35,17,0.6,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 007,COMPASS Middle School,1074,38.36,1033,36.89,0,0,20,0.71,36,1.28,479,17.1,44,1.57,8,0.28,104,3.71,1659,59.25,440,15.71,0,0,0,0,15,0.53,12,0.42,2,0.07,31,1.1,55,1.96,0,0,0,0,3,0.1,0,0
06/26/2020,Bronx CD 007,Cornerstone,106,3.78,123,4.39,0,0,1,0.03,1,0.03,94,3.35,5,0.17,1,0.03,10,0.35,140,5,89,3.17,0,0,0,0,0,0,12,0.42,0,0,47,1.67,70,2.5,1,0.03,1,0.03,0,0,0,0
06/26/2020,Bronx CD 007,Drop-in Centers,4,0.14,2,0.07,0,0,0,0,0,0,3,0.1,0,0,0,0,1,0.03,5,0.17,1,0.03,0,0,0,0,0,0,0,0,0,0,4,0.14,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 007,ESL Civics,81,2.89,20,0.71,0,0,0,0,15,0.53,1,0.03,1,0.03,0,0,0,0,86,3.07,15,0.53,0,0,0,0,0,0,3,0.1,0,0,77,2.75,21,0.75,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 008,Adolescent Literacy,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 008,Adult Literacy - ABE/HSE,9,0.32,6,0.21,0,0,2,0.07,0,0,5,0.17,2,0.07,0,0,0,0,10,0.35,5,0.17,0,0,0,0,0,0,0,0,0,0,9,0.32,6,0.21,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 008,Adult Literacy - ABE/HSE (Discretionary),1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 008,Adult Literacy - BENL/ESOL,109,3.89,15,0.53,0,0,0,0,2,0.07,2,0.07,0,0,0,0,4,0.14,110,3.92,14,0.5,0,0,0,0,0,0,5,0.17,1,0.03,104,3.71,14,0.5,0,0,0,0,0,0,0,0
06/26/2020,Bronx CD 008,Adult Literacy - BENL/ESOL (Discretionary),25,0.89,11,0.39,0,0,2,0.07,3,0.1,1,0.03,0,0,0,0,4,0.14,28,1,8,0.28,0,0,0,0,0,0,0,0,0,0,24,0.85,11,0.39,1,0.03,0,0,0,0,0,0
